utc_date,history_dates,history_count,reason,current_amount,median_amount,mad,scale,score,amount_difference,relative_change,candidate,comparable,status
2019-10-01,[],0,outside_observation:2019-09-24;outside_observation:2019-09-17;outside_observation:2019-09-10;outside_observation:2019-09-03,325065.85,,,,,,,False,False,insufficient_history
2019-10-02,[],0,outside_observation:2019-09-25;outside_observation:2019-09-18;outside_observation:2019-09-11;outside_observation:2019-09-04,322531.41,,,,,,,False,False,insufficient_history
2019-10-03,[],0,outside_observation:2019-09-26;outside_observation:2019-09-19;outside_observation:2019-09-12;outside_observation:2019-09-05,306999.13,,,,,,,False,False,insufficient_history
2019-10-04,[],0,outside_observation:2019-09-27;outside_observation:2019-09-20;outside_observation:2019-09-13;outside_observation:2019-09-06,421496.80,,,,,,,False,False,insufficient_history
2019-10-05,[],0,outside_observation:2019-09-28;outside_observation:2019-09-21;outside_observation:2019-09-14;outside_observation:2019-09-07,392555.09,,,,,,,False,False,insufficient_history
2019-10-06,[],0,outside_observation:2019-09-29;outside_observation:2019-09-22;outside_observation:2019-09-15;outside_observation:2019-09-08,318133.79,,,,,,,False,False,insufficient_history
2019-10-07,[],0,outside_observation:2019-09-30;outside_observation:2019-09-23;outside_observation:2019-09-16;outside_observation:2019-09-09,316133.71,,,,,,,False,False,insufficient_history
2019-10-08,"[""2019-10-01""]",1,outside_observation:2019-09-24;outside_observation:2019-09-17;outside_observation:2019-09-10,302664.91,,,,,,,False,False,insufficient_history
2019-10-09,"[""2019-10-02""]",1,outside_observation:2019-09-25;outside_observation:2019-09-18;outside_observation:2019-09-11,401563.05,,,,,,,False,False,insufficient_history
2019-10-10,"[""2019-10-03""]",1,outside_observation:2019-09-26;outside_observation:2019-09-19;outside_observation:2019-09-12,346769.91,,,,,,,False,False,insufficient_history
2019-10-11,"[""2019-10-04""]",1,outside_observation:2019-09-27;outside_observation:2019-09-20;outside_observation:2019-09-13,415980.94,,,,,,,False,False,insufficient_history
