level,utc_date,event_type,event_records,behavior_users
day,2019-10-01,cart,878,465
day,2019-10-01,purchase,992,682
day,2019-10-01,view,59457,9550
day,2019-10-02,cart,881,461
day,2019-10-02,purchase,926,675
day,2019-10-02,view,57760,9337
day,2019-10-03,cart,921,477
day,2019-10-03,purchase,971,691
day,2019-10-03,view,53704,8450
day,2019-10-04,cart,2112,1063
day,2019-10-04,purchase,1313,945
day,2019-10-04,view,66920,10360
day,2019-10-05,cart,1689,864
day,2019-10-05,purchase,1157,828
day,2019-10-05,view,62767,9653
day,2019-10-06,cart,1497,771
day,2019-10-06,purchase,1067,805
day,2019-10-06,view,61471,9567
day,2019-10-07,cart,936,474
day,2019-10-07,purchase,1067,771
day,2019-10-07,view,57759,9339
day,2019-10-08,cart,884,487
day,2019-10-08,purchase,1036,770
day,2019-10-08,view,65518,11031
day,2019-10-09,cart,886,479
day,2019-10-09,purchase,1158,801
day,2019-10-09,view,64285,10566
day,2019-10-10,cart,908,495
day,2019-10-10,purchase,1087,783
day,2019-10-10,view,63415,10210
day,2019-10-11,cart,1110,556
day,2019-10-11,purchase,1335,948
day,2019-10-11,view,74191,11594
day,2019-10-12,cart,1122,550
day,2019-10-12,purchase,1243,901
day,2019-10-12,view,72475,10504
day,2019-10-13,cart,1270,623
day,2019-10-13,purchase,1499,1078
day,2019-10-13,view,78671,11284
day,2019-10-14,cart,2147,1090
day,2019-10-14,purchase,1454,965
day,2019-10-14,view,68277,10504
day,2019-10-15,cart,2515,1263
day,2019-10-15,purchase,1301,936
day,2019-10-15,view,73919,11662
day,2019-10-16,cart,2430,1232
day,2019-10-16,purchase,1635,1128
day,2019-10-16,view,74685,11432
day,2019-10-17,cart,2006,1050
day,2019-10-17,purchase,1457,999
day,2019-10-17,view,67446,10497
day,2019-10-18,cart,2085,1001
day,2019-10-18,purchase,1395,946
day,2019-10-18,view,69878,11489
day,2019-10-19,cart,1949,1037
day,2019-10-19,purchase,1243,897
day,2019-10-19,view,69285,10803
day,2019-10-20,cart,2041,1092
day,2019-10-20,purchase,1290,947
day,2019-10-20,view,74052,11602
day,2019-10-21,cart,1884,967
day,2019-10-21,purchase,1325,939
day,2019-10-21,view,67912,11146
day,2019-10-22,cart,1836,964
day,2019-10-22,purchase,1285,938
day,2019-10-22,view,68163,11158
day,2019-10-23,cart,1685,945
day,2019-10-23,purchase,1154,858
day,2019-10-23,view,65337,10973
day,2019-10-24,cart,1927,903
day,2019-10-24,purchase,1158,852
day,2019-10-24,view,61385,10107
day,2019-10-25,cart,1916,1013
day,2019-10-25,purchase,1228,886
day,2019-10-25,view,66963,10917
day,2019-10-26,cart,1781,947
day,2019-10-26,purchase,1177,863
day,2019-10-26,view,63146,10100
day,2019-10-27,cart,1727,897
day,2019-10-27,purchase,1148,809
day,2019-10-27,view,64386,9920
day,2019-10-28,cart,921,478
day,2019-10-28,purchase,1093,765
day,2019-10-28,view,60652,9740
day,2019-10-29,cart,849,439
day,2019-10-29,purchase,917,672
day,2019-10-29,view,59538,9582
day,2019-10-30,cart,869,471
day,2019-10-30,purchase,978,754
day,2019-10-30,view,56638,9473
day,2019-10-31,cart,810,473
day,2019-10-31,purchase,930,724
day,2019-10-31,view,60535,10078
month,,cart,46472,16751
month,,purchase,37019,17121
month,,view,2030590,151116
