target_date,part,products,current_events,history_mean_events,current_amount,history_mean_amount,amount_difference,quantity_component,within_product_amount_component
2019-10-25,stable_common,12,19,12.3333333333333333333333333333333333,8199.29,6200.55,1998.74,2037.98333333333333333333333333333333,-39.2433333333333333333333333333333333
2019-10-25,stable_history_only,93,0,43,0,18347.0433333333333333333333333333333,-18347.0433333333333333333333333333333,,
2019-10-25,stable_current_only,19,19,0,6134.6,0,6134.6,,
2019-10-25,classification_unstable,0,0,0,0,0,0,,
2019-11-01,stable_common,13,19,11,6926.99,5313.3025,1613.6875,1651.51129807692307692307692307692308,-37.8237980769230769230769230769230769
2019-11-01,stable_history_only,111,0,40,0,16680.865,-16680.865,,
2019-11-01,stable_current_only,19,21,0,9066.7,0,9066.7,,
2019-11-01,classification_unstable,0,0,0,0,0,0,,
2019-11-08,stable_common,13,20,10,7899.68,4569.48,3330.2,3295.81035714285714285714285714285714,34.3896428571428571428571428571428571
2019-11-08,stable_history_only,101,0,38.25,0,16241.3525,-16241.3525,,
2019-11-08,stable_current_only,27,31,0,11422.66,0,11422.66,,
2019-11-08,classification_unstable,0,0,0,0,0,0,,
