product_alias,role,target_date,part,history_dates,history_purchase_events,history_mean_events,current_purchase_events,history_mean_amount,current_amount,amount_difference,history_record_mean,current_record_mean,current_record_min,current_record_max,history_record_min,history_record_max,quantity_component,within_product_amount_component,classification_stable,other_known,unknown_observed
product_A,decline_top5,2019-10-25,stable_history_only,2019-10-04;2019-10-11;2019-10-18,8,2.66666666666666666666666666666666667,0,2271.97333333333333333333333333333333,0,-2271.97333333333333333333333333333333,851.99,,,,851.99,851.99,,,True,False,False
product_B,decline_top5,2019-10-25,stable_common,2019-10-04;2019-10-11;2019-10-18,12,4,1,2821.8,694.71,-2127.09,705.45,694.71,694.71,694.71,694.71,720.48,-2100.24,-26.85,True,False,False
product_C,decline_top5,2019-10-25,stable_history_only,2019-10-04;2019-10-11;2019-10-18,2,0.666666666666666666666666666666666667,0,1182.18666666666666666666666666666667,0,-1182.18666666666666666666666666666667,1773.28,,,,1773.28,1773.28,,,True,False,False
product_D,decline_top5,2019-10-25,stable_history_only,2019-10-04;2019-10-11;2019-10-18,2,0.666666666666666666666666666666666667,0,977.973333333333333333333333333333333,0,-977.973333333333333333333333333333333,1466.96,,,,1466.96,1466.96,,,True,False,False
product_E,decline_top5,2019-10-25,stable_history_only,2019-10-04;2019-10-11;2019-10-18,2,0.666666666666666666666666666666666667,0,901.78,0,-901.78,1352.67,,,,1352.67,1352.67,,,True,False,False
product_F,offset_top2,2019-10-25,stable_common,2019-10-04;2019-10-11;2019-10-18,1,0.333333333333333333333333333333333333,3,163.016666666666666666666666666666667,1467.15,1304.13333333333333333333333333333333,489.05,489.05,489.05,489.05,489.05,489.05,1304.13333333333333333333333333333333,0,True,False,False
product_G,offset_top2,2019-10-25,stable_current_only,2019-10-04;2019-10-11;2019-10-18,0,0,1,0,1080.34,1080.34,,1080.34,1080.34,1080.34,,,,,True,False,False
product_A,decline_top5,2019-11-01,stable_history_only,2019-10-04;2019-10-11;2019-10-18;2019-10-25,8,2,0,1703.98,0,-1703.98,851.99,,,,851.99,851.99,,,True,False,False
product_B,decline_top5,2019-11-01,stable_common,2019-10-04;2019-10-11;2019-10-18;2019-10-25,13,3.25,1,2290.0275,682.09,-1607.9375,704.623846153846153846153846153846154,682.09,682.09,682.09,694.71,720.48,-1560.05307692307692307692307692307692,-47.8844230769230769230769230769230769,True,False,False
product_C,decline_top5,2019-11-01,stable_history_only,2019-10-04;2019-10-11;2019-10-18;2019-10-25,2,0.5,0,886.64,0,-886.64,1773.28,,,,1773.28,1773.28,,,True,False,False
product_D,decline_top5,2019-11-01,stable_history_only,2019-10-04;2019-10-11;2019-10-18;2019-10-25,2,0.5,0,733.48,0,-733.48,1466.96,,,,1466.96,1466.96,,,True,False,False
product_E,decline_top5,2019-11-01,stable_history_only,2019-10-04;2019-10-11;2019-10-18;2019-10-25,2,0.5,0,676.335,0,-676.335,1352.67,,,,1352.67,1352.67,,,True,False,False
product_F,offset_top2,2019-11-01,stable_history_only,2019-10-04;2019-10-11;2019-10-18;2019-10-25,4,1,0,489.05,0,-489.05,489.05,,,,489.05,489.05,,,True,False,False
product_G,offset_top2,2019-11-01,stable_history_only,2019-10-04;2019-10-11;2019-10-18;2019-10-25,1,0.25,0,270.085,0,-270.085,1080.34,,,,1080.34,1080.34,,,True,False,False
product_A,decline_top5,2019-11-08,stable_history_only,2019-10-11;2019-10-18;2019-10-25;2019-11-01,8,2,0,1703.98,0,-1703.98,851.99,,,,851.99,851.99,,,True,False,False
product_B,decline_top5,2019-11-08,stable_common,2019-10-11;2019-10-18;2019-10-25;2019-11-01,12,3,2,2100.31,1389.94,-710.37,700.103333333333333333333333333333333,694.97,694.97,694.97,682.09,720.48,-697.536666666666666666666666666666667,-12.8333333333333333333333333333333333,True,False,False
product_C,decline_top5,2019-11-08,stable_history_only,2019-10-11;2019-10-18;2019-10-25;2019-11-01,2,0.5,0,886.64,0,-886.64,1773.28,,,,1773.28,1773.28,,,True,False,False
product_D,decline_top5,2019-11-08,stable_history_only,2019-10-11;2019-10-18;2019-10-25;2019-11-01,2,0.5,0,733.48,0,-733.48,1466.96,,,,1466.96,1466.96,,,True,False,False
product_E,decline_top5,2019-11-08,neither_side_observed,2019-10-11;2019-10-18;2019-10-25;2019-11-01,0,0,0,0,0,0,,,,,,,,,True,False,False
product_F,offset_top2,2019-11-08,stable_history_only,2019-10-11;2019-10-18;2019-10-25;2019-11-01,4,1,0,489.05,0,-489.05,489.05,,,,489.05,489.05,,,True,False,False
product_G,offset_top2,2019-11-08,stable_history_only,2019-10-11;2019-10-18;2019-10-25;2019-11-01,1,0.25,0,270.085,0,-270.085,1080.34,,,,1080.34,1080.34,,,True,False,False
