version,run_id,evidence_type,currency,basket_id,strategy,r,probability_role,unit_contribution,normalized_expected_contribution,delta_expected_vs_reference,delta_expected_vs_absorb
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,REFERENCE,1.00,fixed_reference,0.00,0.0000,0.0000,3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,ABSORB,1.00,fixed_reference,-3.00,-3.0000,-3.0000,0.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,PASS_HALF,1.00,hypothetical_action,-1.50,-1.5000,-1.5000,1.5000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,PASS_HALF,0.95,hypothetical_action,-1.50,-1.4250,-1.4250,1.5750
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,PASS_HALF,0.90,hypothetical_action,-1.50,-1.3500,-1.3500,1.6500
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,PASS_HALF,0.80,hypothetical_action,-1.50,-1.2000,-1.2000,1.8000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,PASS_HALF,0.70,hypothetical_action,-1.50,-1.0500,-1.0500,1.9500
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,PASS_FULL,1.00,hypothetical_action,0.00,0.0000,0.0000,3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,PASS_FULL,0.95,hypothetical_action,0.00,0.0000,0.0000,3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,PASS_FULL,0.90,hypothetical_action,0.00,0.0000,0.0000,3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,PASS_FULL,0.80,hypothetical_action,0.00,0.0000,0.0000,3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,PASS_FULL,0.70,hypothetical_action,0.00,0.0000,0.0000,3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,ADD_SAME_CATEGORY,1.00,hypothetical_action,-3.0000,-3.000000,-3.000000,0.000000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,ADD_SAME_CATEGORY,0.95,hypothetical_action,-3.0000,-2.850000,-2.850000,0.150000
