version,run_id,evidence_type,currency,basket_id,strategy,reference,reference_contribution,unit_contribution,contribution_difference,r_required,allowed_probability_decline,required_probability_lift,max_p_ref_if_lift_required,status
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,REFERENCE,REFERENCE,0.00,0.00,0.00,,,,,reference_nonpositive_ratio_not_applicable
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,REFERENCE,ABSORB,-3.00,0.00,3.00,,,,,reference_nonpositive_ratio_not_applicable
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,ABSORB,REFERENCE,0.00,-3.00,-3.00,,,,,reference_nonpositive_ratio_not_applicable
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,ABSORB,ABSORB,-3.00,-3.00,0.00,,,,,reference_nonpositive_ratio_not_applicable
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,PASS_HALF,REFERENCE,0.00,-1.50,-1.50,,,,,reference_nonpositive_ratio_not_applicable
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,PASS_HALF,ABSORB,-3.00,-1.50,1.50,,,,,reference_nonpositive_ratio_not_applicable
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,PASS_FULL,REFERENCE,0.00,0.00,0.00,,,,,reference_nonpositive_ratio_not_applicable
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,PASS_FULL,ABSORB,-3.00,0.00,3.00,,,,,reference_nonpositive_ratio_not_applicable
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,ADD_SAME_CATEGORY,REFERENCE,0.00,-3.0000,-3.0000,,,,,reference_nonpositive_ratio_not_applicable
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,ADD_SAME_CATEGORY,ABSORB,-3.00,-3.0000,0.0000,,,,,reference_nonpositive_ratio_not_applicable
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,ADD_NEW_CATEGORY,REFERENCE,0.00,-6.0000,-6.0000,,,,,reference_nonpositive_ratio_not_applicable
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,ADD_NEW_CATEGORY,ABSORB,-3.00,-6.0000,-3.0000,,,,,reference_nonpositive_ratio_not_applicable
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,REFERENCE,REFERENCE,0.00,0.00,0.00,,,,,reference_nonpositive_ratio_not_applicable
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,REFERENCE,ABSORB,-6.00,0.00,6.00,,,,,reference_nonpositive_ratio_not_applicable
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,ABSORB,REFERENCE,0.00,-6.00,-6.00,,,,,reference_nonpositive_ratio_not_applicable
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,ABSORB,ABSORB,-6.00,-6.00,0.00,,,,,reference_nonpositive_ratio_not_applicable
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,PASS_HALF,REFERENCE,0.00,-3.00,-3.00,,,,,reference_nonpositive_ratio_not_applicable
