version,run_id,evidence_type,currency,basket_id,S0,m0,C0,L0,H0,strategy,S,C,L,H_strategy,f,fixed_charge,unit_contribution,delta_unit_vs_reference,delta_unit_vs_absorb
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,20,0.20,16.00,4,1,REFERENCE,20,16.00,4,1,0,0,0.00,0.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,20,0.20,16.00,4,1,ABSORB,20,16.00,4,1,3,3,-3.00,-3.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,20,0.20,16.00,4,1,PASS_HALF,21.50,16.00,4,1,3,3,-1.50,-1.50,1.50
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,20,0.20,16.00,4,1,PASS_FULL,23,16.00,4,1,3,3,0.00,0.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,20,0.20,16.00,4,1,ADD_SAME_CATEGORY,25.00,20.0000,5,1,3,3,-3.0000,-3.0000,0.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,20,0.20,16.00,4,1,ADD_NEW_CATEGORY,25.00,20.0000,5,2,3,6,-6.0000,-6.0000,-3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,20,0.20,16.00,4,2,REFERENCE,20,16.00,4,2,0,0,0.00,0.00,6.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,20,0.20,16.00,4,2,ABSORB,20,16.00,4,2,3,6,-6.00,-6.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,20,0.20,16.00,4,2,PASS_HALF,23.00,16.00,4,2,3,6,-3.00,-3.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,20,0.20,16.00,4,2,PASS_FULL,26,16.00,4,2,3,6,0.00,0.00,6.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,20,0.20,16.00,4,2,ADD_SAME_CATEGORY,25.00,20.0000,5,2,3,6,-6.0000,-6.0000,0.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,20,0.20,16.00,4,2,ADD_NEW_CATEGORY,25.00,20.0000,5,3,3,9,-9.0000,-9.0000,-3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,20,0.20,16.00,4,3,REFERENCE,20,16.00,4,3,0,0,0.00,0.00,9.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,20,0.20,16.00,4,3,ABSORB,20,16.00,4,3,3,9,-9.00,-9.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,20,0.20,16.00,4,3,PASS_HALF,24.50,16.00,4,3,3,9,-4.50,-4.50,4.50
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,20,0.20,16.00,4,3,PASS_FULL,29,16.00,4,3,3,9,0.00,0.00,9.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,20,0.20,16.00,4,3,ADD_SAME_CATEGORY,25.00,20.0000,5,3,3,9,-9.0000,-9.0000,0.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,20,0.20,16.00,4,3,ADD_NEW_CATEGORY,25.00,20.0000,5,4,3,12,-12.0000,-12.0000,-3.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,20,0.30,14.00,4,1,REFERENCE,20,14.00,4,1,0,0,2.00,0.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,20,0.30,14.00,4,1,ABSORB,20,14.00,4,1,3,3,-1.00,-3.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,20,0.30,14.00,4,1,PASS_HALF,21.50,14.00,4,1,3,3,0.50,-1.50,1.50
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,20,0.30,14.00,4,1,PASS_FULL,23,14.00,4,1,3,3,2.00,0.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,20,0.30,14.00,4,1,ADD_SAME_CATEGORY,25.00,17.5000,5,1,3,3,-0.5000,-2.5000,0.5000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,20,0.30,14.00,4,1,ADD_NEW_CATEGORY,25.00,17.5000,5,2,3,6,-3.5000,-5.5000,-2.5000
