version,run_id,evidence_type,currency,basket_id,S0,m0,C0,L0,H0
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H1,20,0.20,16.00,4,1
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H2,20,0.20,16.00,4,2
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m20_H3,20,0.20,16.00,4,3
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H1,20,0.30,14.00,4,1
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H2,20,0.30,14.00,4,2
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m30_H3,20,0.30,14.00,4,3
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H1,20,0.40,12.00,4,1
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H2,20,0.40,12.00,4,2
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S20_m40_H3,20,0.40,12.00,4,3
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H1,40,0.20,32.00,4,1
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H2,40,0.20,32.00,4,2
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m20_H3,40,0.20,32.00,4,3
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H1,40,0.30,28.00,4,1
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H2,40,0.30,28.00,4,2
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m30_H3,40,0.30,28.00,4,3
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H1,40,0.40,24.00,4,1
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H2,40,0.40,24.00,4,2
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S40_m40_H3,40,0.40,24.00,4,3
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H1,80,0.20,64.00,4,1
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H2,80,0.20,64.00,4,2
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m20_H3,80,0.20,64.00,4,3
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H1,80,0.30,56.00,4,1
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H2,80,0.30,56.00,4,2
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H3,80,0.30,56.00,4,3
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H1,80,0.40,48.00,4,1
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H2,80,0.40,48.00,4,2
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H3,80,0.40,48.00,4,3
