utc_date,category_key,category_label,event_records,purchase_events,purchase_amount,count_allowed,amount_allowed,analysis_scope
2019-10-01,bucket:unknown,unknown,19741,219,31915.26,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-01,category:accessories,accessories,325,1,38.61,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-01,category:apparel,apparel,1980,4,282.34,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-01,category:appliances,appliances,6150,98,16421.44,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-01,category:auto,auto,1493,5,457.41,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-01,category:computers,computers,3340,41,23702.18,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-01,category:construction,construction,1044,13,1458.56,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-01,category:country_yard,country_yard,11,0,0.00,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-01,category:electronics,electronics,24325,584,246379.85,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-01,category:furniture,furniture,1735,15,3404.67,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-01,category:kids,kids,841,10,902.67,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-01,category:medicine,medicine,27,2,102.86,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-01,category:sport,sport,244,0,0.00,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-01,category:stationery,stationery,71,0,0.00,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-02,bucket:unknown,unknown,18468,173,30151.71,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-02,category:accessories,accessories,377,2,29.78,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-02,category:apparel,apparel,1581,14,1200.25,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-02,category:appliances,appliances,6663,83,13518.10,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-02,category:auto,auto,1358,17,2096.19,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-02,category:computers,computers,3291,35,20890.98,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-02,category:construction,construction,981,8,543.16,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-02,category:country_yard,country_yard,17,0,0.00,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-02,category:electronics,electronics,24397,571,249581.33,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-02,category:furniture,furniture,1391,14,2861.66,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-02,category:kids,kids,683,8,1207.79,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-02,category:medicine,medicine,9,0,0.00,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-02,category:sport,sport,317,1,450.46,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-02,category:stationery,stationery,34,0,0.00,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-03,bucket:unknown,unknown,17108,237,32829.72,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-03,category:accessories,accessories,252,4,238.61,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-03,category:apparel,apparel,1387,5,344.92,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-03,category:appliances,appliances,5860,70,11679.17,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-03,category:auto,auto,1309,8,701.42,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-03,category:computers,computers,3106,43,25929.55,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-03,category:construction,construction,988,10,2137.07,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-03,category:country_yard,country_yard,21,0,0.00,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-03,category:electronics,electronics,23257,572,228017.50,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-03,category:furniture,furniture,1263,8,1652.45,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-03,category:kids,kids,756,8,745.36,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-03,category:medicine,medicine,11,0,0.00,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-03,category:sport,sport,273,6,2723.36,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-03,category:stationery,stationery,5,0,0.00,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-04,bucket:unknown,unknown,20611,294,42370.34,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-04,category:accessories,accessories,250,0,0.00,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-04,category:apparel,apparel,1338,4,238.81,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-04,category:appliances,appliances,9388,129,25903.63,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-04,category:auto,auto,2621,26,2961.72,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-04,category:computers,computers,4285,51,20727.03,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-04,category:construction,construction,805,6,558.70,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-04,category:country_yard,country_yard,8,2,248.66,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-04,category:electronics,electronics,28811,773,324083.38,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-04,category:furniture,furniture,1215,5,915.86,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-04,category:kids,kids,700,17,2511.71,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-04,category:medicine,medicine,7,0,0.00,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-04,category:sport,sport,290,6,976.96,True,True,rees46_oct_nov_user5_analysis_v1
2019-10-04,category:stationery,stationery,16,0,0.00,True,True,rees46_oct_nov_user5_analysis_v1
