table,field,comparison,differences,max_absolute_error,max_relative_error
dim_user_first_seen,metric_version,lineage_exact,0,,
dim_user_first_seen,contract_version,lineage_exact,0,,
dim_user_first_seen,date_policy_version,lineage_exact,0,,
dim_user_first_seen,brand_mapping_version,lineage_exact,0,,
dim_user_first_seen,brand_mapping_sha256,lineage_exact,0,,
dim_user_first_seen,source_id,lineage_exact,0,,
dim_user_first_seen,source_run,lineage_exact,0,,
dim_user_first_seen,input_sha256,lineage_exact,0,,
dim_user_first_seen,observation_start_utc,lineage_exact,0,,
dim_user_first_seen,observation_end_exclusive_utc,lineage_exact,0,,
dim_user_first_seen,first_seen_at_utc,exact,0,,
dim_user_first_seen,first_seen_date_utc,exact,0,,
agg_user_daily,metric_version,lineage_exact,0,,
agg_user_daily,contract_version,lineage_exact,0,,
agg_user_daily,date_policy_version,lineage_exact,0,,
agg_user_daily,brand_mapping_version,lineage_exact,0,,
agg_user_daily,brand_mapping_sha256,lineage_exact,0,,
agg_user_daily,source_id,lineage_exact,0,,
agg_user_daily,source_run,lineage_exact,0,,
agg_user_daily,input_sha256,lineage_exact,0,,
agg_user_daily,observation_start_utc,lineage_exact,0,,
agg_user_daily,observation_end_exclusive_utc,lineage_exact,0,,
agg_user_daily,event_records,exact,0,,
agg_user_daily,view_events,exact,0,,
agg_user_daily,cart_events,exact,0,,
agg_user_daily,remove_from_cart_events,exact,0,,
agg_user_daily,purchase_events,exact,0,,
agg_user_daily,sessions,exact,0,,
agg_user_daily,purchase_sessions,exact,0,,
agg_user_daily,purchase_amount,exact,0,0.00,
agg_user_daily,purchase_amount_bad,exact,0,,
agg_user_daily,purchase_amount_valid,exact,0,,
agg_user_daily,purchase_zero_events,exact,0,,
agg_user_daily,is_buyer,exact,0,,
agg_user_daily,is_first_seen_day,exact,0,,
agg_user_daily,count_allowed,exact,0,,
agg_user_daily,amount_allowed,exact,0,,
agg_user_daily,amount_status,exact,0,,
agg_user_daily,date_reason_codes,exact,0,,
agg_daily_metrics,metric_version,lineage_exact,0,,
agg_daily_metrics,contract_version,lineage_exact,0,,
agg_daily_metrics,date_policy_version,lineage_exact,0,,
agg_daily_metrics,brand_mapping_version,lineage_exact,0,,
agg_daily_metrics,brand_mapping_sha256,lineage_exact,0,,
agg_daily_metrics,source_id,lineage_exact,0,,
agg_daily_metrics,source_run,lineage_exact,0,,
agg_daily_metrics,input_sha256,lineage_exact,0,,
agg_daily_metrics,observation_start_utc,lineage_exact,0,,
agg_daily_metrics,observation_end_exclusive_utc,lineage_exact,0,,
agg_daily_metrics,active_users,exact,0,,
agg_daily_metrics,buyers,exact,0,,
agg_daily_metrics,event_records,exact,0,,
agg_daily_metrics,view_events,exact,0,,
agg_daily_metrics,cart_events,exact,0,,
agg_daily_metrics,remove_from_cart_events,exact,0,,
agg_daily_metrics,purchase_events,exact,0,,
agg_daily_metrics,sessions,exact,0,,
agg_daily_metrics,purchase_sessions,exact,0,,
agg_daily_metrics,purchase_amount,exact,0,0.00,
agg_daily_metrics,purchase_amount_bad,exact,0,,
agg_daily_metrics,purchase_amount_valid,exact,0,,
agg_daily_metrics,purchase_zero_events,exact,0,,
agg_daily_metrics,first_seen_users,exact,0,,
agg_daily_metrics,count_allowed,exact,0,,
agg_daily_metrics,amount_allowed,exact,0,,
agg_daily_metrics,amount_status,exact,0,,
agg_daily_metrics,date_reason_codes,exact,0,,
agg_daily_metrics,buyer_rate,float_frozen_tolerance,0,0.0,0.0
agg_daily_metrics,amount_per_buyer,float_frozen_tolerance,0,0.0,0.0
agg_daily_metrics,first_seen_ratio,float_frozen_tolerance,0,0.0,0.0
agg_daily_metrics,buyer_rate_status,exact,0,,
agg_daily_metrics,amount_per_buyer_status,exact,0,,
agg_daily_metrics,first_seen_ratio_status,exact,0,,
agg_daily_dim,metric_version,lineage_exact,0,,
agg_daily_dim,contract_version,lineage_exact,0,,
agg_daily_dim,date_policy_version,lineage_exact,0,,
agg_daily_dim,brand_mapping_version,lineage_exact,0,,
agg_daily_dim,brand_mapping_sha256,lineage_exact,0,,
agg_daily_dim,source_id,lineage_exact,0,,
agg_daily_dim,source_run,lineage_exact,0,,
agg_daily_dim,input_sha256,lineage_exact,0,,
agg_daily_dim,observation_start_utc,lineage_exact,0,,
agg_daily_dim,observation_end_exclusive_utc,lineage_exact,0,,
agg_daily_dim,dim_value_label,exact,0,,
agg_daily_dim,users,exact,0,,
agg_daily_dim,buyers,exact,0,,
agg_daily_dim,event_records,exact,0,,
agg_daily_dim,purchase_events,exact,0,,
agg_daily_dim,purchase_amount,exact,0,0.00,
agg_daily_dim,purchase_amount_bad,exact,0,,
agg_daily_dim,purchase_amount_valid,exact,0,,
agg_daily_dim,count_allowed,exact,0,,
agg_daily_dim,amount_allowed,exact,0,,
agg_daily_dim,amount_status,exact,0,,
agg_daily_dim,date_reason_codes,exact,0,,
brand_mapping,reference_events,exact,0,,
brand_mapping,brand_rank,exact,0,,
brand_mapping,dim_value_key,exact,0,,
brand_mapping,dim_value_label,exact,0,,
