scope_id,reference_run_id,utc_date,expected_coverage_records,record_count,raw_users,users,buyers,purchase_events,purchase_price_bad_eligible,purchase_price_bad_all,purchase_amount,time_min,time_max,amount_status,flags.time_missing,flags.time_invalid,flags.user_id_missing,flags.user_id_invalid,flags.product_id_missing,flags.product_id_invalid,flags.category_id_missing,flags.category_id_invalid,flags.category_code_missing,flags.brand_missing,flags.session_missing,flags.event_type_unknown,flags.price_missing,flags.price_invalid,flags.price_nonfinite,flags.price_negative,flags.price_zero,flags.price_precision_exceeded,flags.price_scale_exceeded,flags.event_eligible,flags.amount_eligible,behaviors.view,behaviors.cart,behaviors.purchase,zero_by_behavior.view,zero_by_behavior.cart,zero_by_behavior.remove_from_cart,zero_by_behavior.purchase,zero_by_behavior.__unknown__,all_independent_fields_equal,rerun_equal,formal_analysis_release
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-01,61327,61327,9551,9551,682,992,0,0,325065.85,2019-10-01T00:00:23+00:00,2019-10-01T23:59:56+00:00,complete_observed,0,0,0,0,0,0,0,0,19741,9399,0,0,0,0,0,0,103,0,0,61327,992,59457,878,992,103,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-02,59567,59567,9338,9338,675,926,0,0,322531.41,2019-10-02T00:01:23+00:00,2019-10-02T23:59:50+00:00,complete_observed,0,0,0,0,0,0,0,0,18468,8335,0,0,0,0,0,0,89,0,0,59567,926,57760,881,926,89,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-03,55596,55596,8453,8453,691,971,0,0,306999.13,2019-10-03T00:00:15+00:00,2019-10-03T23:59:30+00:00,complete_observed,0,0,0,0,0,0,0,0,17108,7681,0,0,0,0,0,0,52,0,0,55596,971,53704,921,971,52,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-04,70345,70345,10360,10360,945,1313,0,0,421496.80,2019-10-04T00:00:03+00:00,2019-10-04T23:59:57+00:00,complete_observed,0,0,0,0,0,0,0,0,20611,8210,0,0,0,0,0,0,85,0,0,70345,1313,66920,2112,1313,85,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-05,65613,65613,9654,9654,828,1157,0,0,392555.09,2019-10-05T00:00:16+00:00,2019-10-05T23:59:36+00:00,complete_observed,0,0,0,0,0,0,0,0,20483,8325,0,0,0,0,0,0,36,0,0,65613,1157,62767,1689,1157,36,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-06,64035,64035,9567,9567,805,1067,0,0,318133.79,2019-10-06T00:00:27+00:00,2019-10-06T23:59:25+00:00,complete_observed,0,0,0,0,0,0,0,0,20832,8632,0,0,0,0,0,0,62,0,0,64035,1067,61471,1497,1067,62,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-07,59762,59762,9339,9339,771,1067,0,0,316133.71,2019-10-07T00:00:04+00:00,2019-10-07T23:59:44+00:00,complete_observed,0,0,0,0,0,0,0,0,19884,8536,0,0,0,0,0,0,105,0,0,59762,1067,57759,936,1067,105,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-08,67438,67438,11031,11031,770,1036,0,0,302664.91,2019-10-08T00:00:13+00:00,2019-10-08T23:59:43+00:00,complete_observed,0,0,0,0,0,0,0,0,25558,9812,0,0,0,0,0,0,231,0,0,67438,1036,65518,884,1036,231,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-09,66329,66329,10566,10566,801,1158,0,0,401563.05,2019-10-09T00:00:14+00:00,2019-10-09T23:59:52+00:00,complete_observed,0,0,0,0,0,0,0,0,24128,9825,0,0,0,0,0,0,222,0,0,66329,1158,64285,886,1158,222,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-10,65410,65410,10211,10211,783,1087,0,0,346769.91,2019-10-10T00:00:01+00:00,2019-10-10T23:59:58+00:00,complete_observed,0,0,0,0,0,0,0,0,21475,8833,0,0,0,0,0,0,132,0,0,65410,1087,63415,908,1087,132,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-11,76636,76636,11594,11594,948,1335,0,0,415980.94,2019-10-11T00:00:00+00:00,2019-10-11T23:59:43+00:00,complete_observed,0,0,0,0,0,0,0,0,26241,11172,0,0,0,0,0,0,211,0,0,76636,1335,74191,1110,1335,211,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-12,74840,74840,10505,10505,901,1243,0,0,377794.50,2019-10-12T00:00:12+00:00,2019-10-12T23:59:45+00:00,complete_observed,0,0,0,0,0,0,0,0,26390,11373,0,0,0,0,0,0,95,0,0,74840,1243,72475,1122,1243,95,0,0,0,0,pass,pass,not_granted
rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,month-v101-01,2019-10-13,81440,81440,11286,11286,1078,1499,0,0,412334.49,2019-10-13T00:00:09+00:00,2019-10-13T23:59:58+00:00,complete_observed,0,0,0,0,0,0,0,0,27252,12065,0,0,0,0,0,0,52,0,0,81440,1499,78671,1270,1499,52,0,0,0,0,pass,pass,not_granted
