utc_date,dim_name,dim_value_key,dim_value_label,current_amount,history_amount_sum,history_days,history_mean_amount,amount_difference,current_share,history_share,signed_contribution,direction,js_component,direction_rank,cumulative_same_direction_share,share_status
2019-10-25,category_l1,bucket:unknown,unknown,45474.37,138402.28,3,46134.0933333333333333333333333333333,-659.723333333333333333333333333333333,0.123292594202676149261505764642387960,0.105908965596444866005518393692937272,0.00988076355616427058345964464157900510,same_direction,0.000475986876170109,5,0.988880846399176518504822341518711827,defined
2019-10-25,category_l1,category:accessories,accessories,14.13,112.36,3,37.4533333333333333333333333333333333,-23.3233333333333333333333333333333333,0.0000383100272985379234295071367541087843,0.0000859807466641195878014440709743974727,0.000349316645879239283499988043256154341,same_direction,6.766475849643867e-06,9,1,defined
2019-10-25,category_l1,category:apparel,apparel,596.12,3261.65,3,1087.21666666666666666666666666666667,-491.096666666666666666666666666666667,0.00161623308373704365992907249553144575,0.00249589802738541877494286270998258737,0.00735521968282727517489920514861883134,same_direction,6.839803318244448e-05,6,0.995899886550235787133311262408165982,defined
2019-10-25,category_l1,category:appliances,appliances,18377.36,71630.69,3,23876.8966666666666666666666666666667,-5499.53666666666666666666666666666667,0.0498257015764372889254414207147550325,0.0548136366168216831321913652572540344,0.0823672875070698304294088570865573898,same_direction,8.578783915647991e-05,3,0.968596573581769561913733109918019170,defined
2019-10-25,category_l1,category:auto,auto,1832.72,5948.81,3,1982.93666666666666666666666666666667,-150.216666666666666666666666666666667,0.00496897050464093581229485631082733554,0.00455218160878409794507928536715205971,0.00224981487016548782491452925101309066,same_direction,6.582579473784833e-06,7,0.998046870812719656166175486151510819,defined
2019-10-25,category_l1,category:computers,computers,14333.89,73642.78,3,24547.5933333333333333333333333333333,-10213.7033333333333333333333333333333,0.0388628249960537689502461466700886315,0.0563533393629538331982238287742251576,0.152971984725122446792115458512170692,same_direction,0.001165407937112349,2,0.889993986157251673387595285677063743,defined
2019-10-25,category_l1,category:construction,construction,1501.83,3107.49,3,1035.83,466,0.00407184347471784922463812478354021200,0.00237793085129303113115974934240148097,-0.00697934358924076773378566935075180461,offsetting,0.00016235197120633088,3,,defined
2019-10-25,category_l1,category:country_yard,country_yard,0,339.99,3,113.33,-113.33,0,0.000260169046442986994095879046730023111,0.00169735838834475580959212426506588415,same_direction,0.00013008452322149349,8,0.999666649309117948926596006356769470,defined
2019-10-25,category_l1,category:electronics,electronics,279924.74,995942.02,3,331980.673333333333333333333333333333,-52055.9333333333333333333333333333333,0.758947235027327006096581286910003212,0.762120314291309396551598139580498284,0.779648593544945899353571998593946832,same_direction,2.3874165682110943e-06,1,0.744013777669429407190798892057978151,defined
2019-10-25,category_l1,category:furniture,furniture,3896.98,6296.61,3,2098.87,1798.11,0.0105657048960974038815513603530096851,0.00481832706704131397068752894035333633,-0.0269305311185616241841144847988848227,offsetting,0.0007935361076623463,1,,defined
2019-10-25,category_l1,category:kids,kids,668.71,4284.61,3,1428.20333333333333333333333333333333,-759.493333333333333333333333333333333,0.00181304305412634782565787101336447878,0.00327869319121176065405789676875768205,0.0113750320323414195036308811890564891,same_direction,0.00015433727157387184,4,0.979451695522043046689058698544972114,defined
2019-10-25,category_l1,category:medicine,medicine,40.9,60.44,3,20.1466666666666666666666666666666667,20.7533333333333333333333333333333333,0.000110890312562646926275077274822579567,0.0000462502343216392656347390499260642866,-0.000310825416213254791920955489111450182,offsetting,9.880877291762544e-06,4,,defined
2019-10-25,category_l1,category:sport,sport,2171.19,3774.46,3,1258.15333333333333333333333333333333,913.036666666666666666666666666666667,0.00588664884432502151244951169491531857,0.00288831335932585278900888739880762090,-0.0136746708288449780452715770925162915,offsetting,0.0003770618005228453,2,,defined
2019-10-25,category_l1,category:stationery,stationery,0,0,3,0,0,0,0,0,unchanged,0.0,,,defined
2019-10-25,brand_group,brand:acer,acer,6249.01,20670.19,3,6890.06333333333333333333333333333333,-641.053333333333333333333333333333333,0.0169426570197336496029882797344510498,0.0158173582225811504323382985173930304,0.00960114049862966729249445484162506477,same_direction,1.3944135623618131e-05,17,0.857566758039389097409001380772421766,defined
2019-10-25,brand_group,brand:adidas,adidas,0,0,3,0,0,0,0,0,unchanged,0.0,,,defined
2019-10-25,brand_group,brand:aerocool,aerocool,60.23,3.32,3,1.10666666666666666666666666666666667,59.1233333333333333333333333333333333,0.000163298863707780546932711595661710692,0.00000254054894023564463777851829507831621,-0.000885497977413186675923865645738803708,offsetting,7.344334386845202e-05,38,,defined
2019-10-25,brand_group,brand:aeroforce,aeroforce,0,226.51,3,75.5033333333333333333333333333333333,-75.5033333333333333333333333333333333,0,0.000173331247124330080392533788860900423,0.00113082340228821623703847780017080920,same_direction,8.666562356216504e-05,70,0.982479154371701843576848831107302513,defined
2019-10-25,brand_group,brand:almacom,almacom,0,114.01,3,38.0033333333333333333333333333333333,-38.0033333333333333333333333333333333,0,0.0000872433688783933268533520695246622985,0.000569180946072489219834695395335631791,same_direction,4.3621684439196665e-05,90,0.994969624314447706910830423174707971,defined
2019-10-25,brand_group,brand:alphard,alphard,0,69.5,3,23.1666666666666666666666666666666667,-23.1666666666666666666666666666666667,0,0.0000531831781163787055197611510566093303,0.000346970228506604690628114463431509600,same_direction,2.6591589058189352e-05,98,0.997537550900920844993116687879859535,defined
2019-10-25,brand_group,brand:alpine,alpine,0,268.22,3,89.4066666666666666666666666666666667,-89.4066666666666666666666666666666667,0,0.000205248806250001386971371740092140353,0.00133905546316606489381687570333236698,same_direction,0.00010262440312500069,63,0.976155586579811205385741035394366426,defined
2019-10-25,brand_group,brand:alteco,alteco,0,169.25,3,56.4166666666666666666666666666666667,-56.4166666666666666666666666666666667,0,0.000129514430161109293657835608868073801,0.000844959873017882645882134862385366903,same_direction,6.475721508055465e-05,81,0.990407078462285446441965617627107752,defined
