source_run,scope_id,series_id,policy_version,start_utc,end_utc_inclusive,behavior,duplicate_groups,involved_events,excess_events,involved_users,purchase_involved_events,purchase_excess_events,hypothetical_purchase_amount_reduction,key_type,involved_event_share,share_denominator
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,__all__,892,2325,1433,638,8,4,1427.11,normalized,0.001099768646518274370754952152,all_baseline_events
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,view,90,182,92,88,0,0,0.00,normalized,0.00008608941663067782171071023296,all_baseline_events
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,cart,798,2135,1337,551,0,0,0.00,normalized,0.001009895079706028293144870040,all_baseline_events
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,remove_from_cart,0,0,0,0,0,0,0.00,normalized,0,all_baseline_events
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,purchase,4,8,4,4,8,4,1427.11,normalized,0.000003784150181568255899371878372,all_baseline_events
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,__all__,892,2325,1433,638,8,4,1427.11,raw_exact,0.001099768646518274370754952152,all_baseline_events
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,view,90,182,92,88,0,0,0.00,raw_exact,0.00008608941663067782171071023296,all_baseline_events
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,cart,798,2135,1337,551,0,0,0.00,raw_exact,0.001009895079706028293144870040,all_baseline_events
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,remove_from_cart,0,0,0,0,0,0,0.00,raw_exact,0,all_baseline_events
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,purchase,4,8,4,4,8,4,1427.11,raw_exact,0.000003784150181568255899371878372,all_baseline_events
