level,segment,n_view,n_cart,n_purchase,n_three_step,view_cart_purchase,view_purchase_no_confirmed_intermediate_cart,view_cart_no_observed_purchase,view_only,view_to_cart,cart_to_purchase_three_step,view_to_purchase,three_step_ratio,view_denominator_status,cart_denominator_status
overall,all,1341998,30908,33324,15112,15112,18212,15741,1292933,0.02303133089617123,0.4889349035848324,0.02483163164177592,0.011260821551149852,defined,defined
price_band,"[0,20)",77588,671,1284,230,230,1054,441,75863,0.008648244573903181,0.34277198211624443,0.016548950868691036,0.002964375934422849,defined,defined
price_band,"[20,50)",179894,2643,4001,1031,1031,2970,1606,174287,0.014691985280220574,0.39008702232311765,0.022240875182051652,0.005731152789976319,defined,defined
price_band,"[200,+inf)",569738,15668,15137,7885,7885,7252,7756,546845,0.02750035981451123,0.5032550421240746,0.026568352470784817,0.013839694736879057,defined,defined
price_band,"[50,200)",514778,11926,12902,5966,5966,6936,5938,495938,0.02316726822047562,0.500251551232601,0.025063231140413925,0.011589461865114671,defined,defined
price_band,unknown,0,0,0,0,0,0,0,0,,,,,zero_denominator,zero_denominator
start_day,2019-10-01,41105,596,895,318,318,577,277,39933,0.014499452621335604,0.5335570469798657,0.02177350687264323,0.0077362851234642985,defined,defined
start_day,2019-10-02,39671,574,852,308,308,544,265,38554,0.014469007587406418,0.5365853658536586,0.021476645408484787,0.007763857729827834,defined,defined
start_day,2019-10-03,36217,597,899,322,322,577,272,35046,0.016483971615539664,0.5393634840871022,0.024822597122898086,0.008890852362150372,defined,defined
start_day,2019-10-04,44511,1448,1222,642,642,580,804,42485,0.032531284401608594,0.44337016574585636,0.027453887803014984,0.014423400957066793,defined,defined
start_day,2019-10-05,42455,1146,1070,552,552,518,593,40792,0.026993287009775057,0.4816753926701571,0.025203156283123307,0.01300200211989165,defined,defined
start_day,2019-10-06,41031,990,1009,470,470,539,520,39502,0.02412809826716385,0.47474747474747475,0.024591162779361946,0.011454753722794959,defined,defined
start_day,2019-10-07,39250,594,978,319,319,659,273,37999,0.015133757961783439,0.5370370370370371,0.024917197452229298,0.008127388535031848,defined,defined
start_day,2019-10-08,45651,605,976,319,319,657,284,44391,0.01325272173665418,0.5272727272727272,0.021379597380123107,0.006987798733872204,defined,defined
start_day,2019-10-09,44590,598,1023,359,359,664,239,43328,0.013411078717201166,0.6003344481605352,0.022942363758690288,0.008051132540928459,defined,defined
start_day,2019-10-10,43041,627,995,363,363,632,262,41784,0.014567505401826166,0.5789473684210527,0.023117492623312655,0.008433818916846728,defined,defined
start_day,2019-10-11,50834,713,1254,390,390,864,320,49260,0.014026045560058228,0.5469845722300141,0.024668528937325414,0.007672030530747138,defined,defined
start_day,2019-10-12,49411,680,1146,335,335,811,343,47922,0.013762117747060371,0.49264705882352944,0.023193216085487037,0.0067798668312723884,defined,defined
start_day,2019-10-13,53397,784,1367,414,414,953,370,51660,0.01468247279809727,0.5280612244897959,0.025600689177294605,0.0077532445643013655,defined,defined
start_day,2019-10-14,46105,1534,1330,728,728,602,803,43972,0.03327187940570437,0.4745762711864407,0.028847196616419043,0.015790044463724107,defined,defined
start_day,2019-10-15,50407,1734,1214,690,690,524,1043,48150,0.034399984129188405,0.39792387543252594,0.02408395659333029,0.013688574999504037,defined,defined
start_day,2019-10-16,50739,1670,1508,825,825,683,842,48389,0.032913537909694715,0.4940119760479042,0.029720727645400975,0.01625968190149589,defined,defined
start_day,2019-10-17,45751,1429,1362,709,709,653,714,43675,0.031234289960875173,0.49615115465360393,0.029769841096369477,0.015496929028873686,defined,defined
start_day,2019-10-18,48903,1378,1276,665,665,611,711,46916,0.028178230374414658,0.4825834542815675,0.026092468764697462,0.013598347749626812,defined,defined
start_day,2019-10-19,47348,1360,1164,651,651,513,709,45475,0.028723494128579878,0.4786764705882353,0.024583931739461013,0.013749260792430515,defined,defined
start_day,2019-10-20,50426,1418,1193,698,698,495,719,48514,0.028120414072105658,0.4922425952045134,0.02365843017490977,0.013842065601078809,defined,defined
start_day,2019-10-21,46089,1268,1216,615,615,601,651,44222,0.02751198767601814,0.48501577287066244,0.026383735815487426,0.013343747965892078,defined,defined
start_day,2019-10-22,46192,1260,1182,608,608,574,651,44359,0.027277450640803603,0.48253968253968255,0.02558884655351576,0.013162452372705231,defined,defined
start_day,2019-10-23,44440,1176,1067,549,549,518,626,42747,0.026462646264626462,0.46683673469387754,0.02400990099009901,0.012353735373537353,defined,defined
start_day,2019-10-24,41378,1217,1074,570,570,504,643,39661,0.029411764705882353,0.4683648315529992,0.025955821934361255,0.013775436222147035,defined,defined
start_day,2019-10-25,45896,1345,1143,607,607,536,734,44019,0.029305386090291093,0.4513011152416357,0.02490413107896113,0.013225553425135088,defined,defined
start_day,2019-10-26,42907,1244,1069,584,584,485,658,41180,0.02899293821520964,0.4694533762057878,0.024914349639918894,0.013610832731255972,defined,defined
start_day,2019-10-27,43625,1179,1074,590,590,484,586,41965,0.027025787965616044,0.5004240882103478,0.0246189111747851,0.0135243553008596,defined,defined
start_day,2019-10-28,41758,617,994,338,338,656,278,40486,0.014775611858805498,0.5478119935170178,0.023803822022127497,0.00809425738780593,defined,defined
start_day,2019-10-29,40863,542,856,259,259,597,282,39725,0.013263832807184983,0.477859778597786,0.020948045909502482,0.006338252208599467,defined,defined
start_day,2019-10-30,38007,585,916,315,315,601,269,36822,0.015391901491830453,0.5384615384615384,0.02410082353250717,0.008287946957139474,defined,defined
