utc_date,purpose,history_dates,history_count,meets_min3,meets_full4,status,reason
2019-10-01,count,[],0,False,False,insufficient_history,outside_observation:2019-09-24;outside_observation:2019-09-17;outside_observation:2019-09-10;outside_observation:2019-09-03
2019-10-02,count,[],0,False,False,insufficient_history,outside_observation:2019-09-25;outside_observation:2019-09-18;outside_observation:2019-09-11;outside_observation:2019-09-04
2019-10-03,count,[],0,False,False,insufficient_history,outside_observation:2019-09-26;outside_observation:2019-09-19;outside_observation:2019-09-12;outside_observation:2019-09-05
2019-10-04,count,[],0,False,False,insufficient_history,outside_observation:2019-09-27;outside_observation:2019-09-20;outside_observation:2019-09-13;outside_observation:2019-09-06
2019-10-05,count,[],0,False,False,insufficient_history,outside_observation:2019-09-28;outside_observation:2019-09-21;outside_observation:2019-09-14;outside_observation:2019-09-07
2019-10-06,count,[],0,False,False,insufficient_history,outside_observation:2019-09-29;outside_observation:2019-09-22;outside_observation:2019-09-15;outside_observation:2019-09-08
2019-10-07,count,[],0,False,False,insufficient_history,outside_observation:2019-09-30;outside_observation:2019-09-23;outside_observation:2019-09-16;outside_observation:2019-09-09
2019-10-08,count,"[""2019-10-01""]",1,False,False,insufficient_history,outside_observation:2019-09-24;outside_observation:2019-09-17;outside_observation:2019-09-10
2019-10-09,count,"[""2019-10-02""]",1,False,False,insufficient_history,outside_observation:2019-09-25;outside_observation:2019-09-18;outside_observation:2019-09-11
2019-10-10,count,"[""2019-10-03""]",1,False,False,insufficient_history,outside_observation:2019-09-26;outside_observation:2019-09-19;outside_observation:2019-09-12
2019-10-11,count,"[""2019-10-04""]",1,False,False,insufficient_history,outside_observation:2019-09-27;outside_observation:2019-09-20;outside_observation:2019-09-13
2019-10-12,count,"[""2019-10-05""]",1,False,False,insufficient_history,outside_observation:2019-09-28;outside_observation:2019-09-21;outside_observation:2019-09-14
2019-10-13,count,"[""2019-10-06""]",1,False,False,insufficient_history,outside_observation:2019-09-29;outside_observation:2019-09-22;outside_observation:2019-09-15
2019-10-14,count,"[""2019-10-07""]",1,False,False,insufficient_history,outside_observation:2019-09-30;outside_observation:2019-09-23;outside_observation:2019-09-16
2019-10-15,count,"[""2019-10-08"",""2019-10-01""]",2,False,False,insufficient_history,outside_observation:2019-09-24;outside_observation:2019-09-17
2019-10-16,count,"[""2019-10-09"",""2019-10-02""]",2,False,False,insufficient_history,outside_observation:2019-09-25;outside_observation:2019-09-18
2019-10-17,count,"[""2019-10-10"",""2019-10-03""]",2,False,False,insufficient_history,outside_observation:2019-09-26;outside_observation:2019-09-19
2019-10-18,count,"[""2019-10-11"",""2019-10-04""]",2,False,False,insufficient_history,outside_observation:2019-09-27;outside_observation:2019-09-20
