utc_hour,purchase_events,purchase_users,purchase_amount,purchase_events_share,share_status
0,158,112,56891.60,0.004268078554255922,defined
1,319,235,94045.98,0.008617196574731895,defined
2,675,505,202148.56,0.01823387989951106,defined
3,1474,1130,434135.72,0.03981739106945082,defined
4,1987,1489,615500.09,0.05367513979307923,defined
5,2464,1808,722995.73,0.06656041492206705,defined
6,2578,1859,834004.46,0.06963991463842892,defined
7,2692,1969,831092.13,0.07271941435479078,defined
8,2770,2001,825622.53,0.07482644047651206,defined
9,2788,2011,908177.91,0.07531267727383235,defined
10,2578,1918,798206.25,0.06963991463842892,defined
11,2304,1761,708637.56,0.06223831005699776,defined
12,2123,1598,674608.23,0.057348928928388124,defined
13,1966,1529,590569.75,0.05310786352953888,defined
14,1831,1412,559391.65,0.04946108754963667,defined
15,1935,1469,597689.29,0.05227045571193171,defined
16,1665,1256,485997.11,0.04497690375212728,defined
17,1514,1117,510363.51,0.04089791728571814,defined
18,1187,831,434825.31,0.03206461546773279,defined
19,860,585,287088.73,0.023231313649747426,defined
20,525,371,175320.45,0.014181906588508604,defined
21,319,224,136487.16,0.008617196574731895,defined
22,182,127,75414.06,0.004916394284016316,defined
23,125,95,39416.45,0.003376644425835382,defined
