policy,split,N_test,capacity_percent,selected_n,c_actual,control_n,treatment_n,conversion_control,conversion_treatment,p0_S,p1_S,delta_S,G,status,ci95_low,ci95_high,bootstrap_valid,bootstrap_invalid,invalid_reason
RANDOM,test_additional,2794557,10,279455,0.0999997495130713,41861,237594,84,717,0.0020066410262535536,0.0030177529735599382,0.0010111119473063847,1.0111094146031223,additional_benchmark_conditional_not_confirmatory,0.5077751515076233,1.4709371814031107,1000,0,
RANDOM,test_additional,2794557,20,558911,0.19999985686461216,84012,474899,164,1505,0.0019521020806551445,0.0031690949022844857,0.0012169928216293412,2.4339839013112874,additional_benchmark_conditional_not_confirmatory,1.7432904820211967,3.1299963925829006,1000,0,
RANDOM,test_additional,2794557,30,838367,0.29999996421615305,125688,712679,246,2213,0.0019572274202787855,0.0031051848026951824,0.001147957382416397,3.443871736465878,additional_benchmark_conditional_not_confirmatory,2.602982207173057,4.278869072079046,1000,0,
RANDOM,test_additional,2794557,50,1397278,0.49999982108076524,209697,1187581,424,3692,0.0020219650257275973,0.0031088405759270316,0.0010868755501994344,5.434375806367754,additional_benchmark_conditional_not_confirmatory,4.379875044916181,6.4746589484248975,1000,0,
RANDOM,test_additional,2794557,100,2794557,1.0,419366,2375191,813,7295,0.0019386407100241794,0.0030713319476202124,0.001132691237596033,11.32691237596033,additional_benchmark_conditional_not_confirmatory,9.847669598683423,12.70019036193835,1000,0,
FROZEN_SIMPLE,test_additional,2794557,10,279455,0.0999997495130713,41649,237806,150,1342,0.0036015270474681264,0.005643255426692346,0.0020417283792242198,2.0417232649615107,additional_benchmark_conditional_not_confirmatory,1.3547006298826603,2.6582687650042627,1000,0,
FROZEN_SIMPLE,test_additional,2794557,20,558911,0.19999985686461216,83143,475768,296,2671,0.0035601313399805153,0.005614080812496847,0.002053949472516332,4.10789600510412,additional_benchmark_conditional_not_confirmatory,3.129536899033046,4.994130183941278,1000,0,
FROZEN_SIMPLE,test_additional,2794557,30,838367,0.29999996421615305,124856,713511,445,3982,0.00356410584993913,0.005580852993156377,0.0020167471432172472,6.050240707982031,additional_benchmark_conditional_not_confirmatory,4.89002532733695,7.153581300099111,1000,0,
FROZEN_SIMPLE,test_additional,2794557,50,1397278,0.49999982108076524,208175,1189103,713,6565,0.003425003002281734,0.005520968326545303,0.002095965324263569,10.479822871232725,additional_benchmark_conditional_not_confirmatory,8.948378466996305,11.768180729889478,1000,0,
FROZEN_SIMPLE,test_additional,2794557,100,2794557,1.0,419366,2375191,813,7295,0.0019386407100241794,0.0030713319476202124,0.001132691237596033,11.32691237596033,additional_benchmark_conditional_not_confirmatory,9.847669598683423,12.70019036193835,1000,0,
RESPONSE_MODEL,test_additional,2794557,10,279455,0.0999997495130713,38236,241219,735,6496,0.019222722042054607,0.026929885290959667,0.007707163248905059,7.707143943468548,additional_benchmark_conditional_not_confirmatory,6.250540757356441,9.086482583756952,1000,0,
RESPONSE_MODEL,test_additional,2794557,20,558911,0.19999985686461216,80091,478820,782,6930,0.009763893571062917,0.014473079654149784,0.004709186083086868,9.418365425661971,additional_benchmark_conditional_not_confirmatory,7.952552528826363,10.82277822245219,1000,0,
