capacity_percent,contrast,role,selected_n,G_difference,status,ci95_low,ci95_high,bootstrap_valid,bootstrap_invalid,invalid_reason
10,RESPONSE_MODEL_minus_FROZEN_SIMPLE,auxiliary,279455,5.665420678507037,additional_benchmark_conditional_not_confirmatory,4.4313298567811525,6.872156896583032,1000,0,
10,S_LEARNER_minus_FROZEN_SIMPLE,auxiliary,279455,5.582471302031151,additional_benchmark_conditional_not_confirmatory,4.258703149890654,6.8526258479226225,1000,0,
10,T_LEARNER_minus_FROZEN_SIMPLE,auxiliary,279455,5.4708302318336814,additional_benchmark_conditional_not_confirmatory,4.20655923470397,6.730789799315978,1000,0,
10,RESPONSE_MODEL_minus_RANDOM,auxiliary,279455,6.696034528865425,additional_benchmark_conditional_not_confirmatory,5.299541544628504,7.894342914964767,1000,0,
20,RESPONSE_MODEL_minus_FROZEN_SIMPLE,auxiliary,558911,5.310469420557851,additional_benchmark_conditional_not_confirmatory,4.13183419015678,6.427187429983882,1000,0,
20,S_LEARNER_minus_FROZEN_SIMPLE,auxiliary,558911,5.29633590238587,additional_benchmark_conditional_not_confirmatory,4.117770776324462,6.45167446033322,1000,0,
20,T_LEARNER_minus_FROZEN_SIMPLE,auxiliary,558911,4.781095014370475,additional_benchmark_conditional_not_confirmatory,3.572198054802512,5.899824110258137,1000,0,
20,RESPONSE_MODEL_minus_RANDOM,auxiliary,558911,6.984381524350684,additional_benchmark_conditional_not_confirmatory,5.748121767867765,8.233793811346839,1000,0,
30,RESPONSE_MODEL_minus_FROZEN_SIMPLE,primary,838367,4.314543590400747,additional_benchmark_conditional_not_confirmatory,3.304386470944037,5.278031310791594,1000,0,
30,S_LEARNER_minus_FROZEN_SIMPLE,auxiliary,838367,4.271474701802447,additional_benchmark_conditional_not_confirmatory,3.2325851830101233,5.247034390490776,1000,0,
30,T_LEARNER_minus_FROZEN_SIMPLE,auxiliary,838367,3.3626003278596777,additional_benchmark_conditional_not_confirmatory,2.3290979101449945,4.35976326983923,1000,0,
30,RESPONSE_MODEL_minus_RANDOM,auxiliary,838367,6.9209125619169,additional_benchmark_conditional_not_confirmatory,5.665179493697787,8.10973552463424,1000,0,
50,RESPONSE_MODEL_minus_FROZEN_SIMPLE,auxiliary,1397278,0.44643537125529775,additional_benchmark_conditional_not_confirmatory,-0.0813597993993267,0.9116928567478428,1000,0,
50,S_LEARNER_minus_FROZEN_SIMPLE,auxiliary,1397278,0.43799722078122194,additional_benchmark_conditional_not_confirmatory,-0.060698799758639885,0.9105668735739592,1000,0,
50,T_LEARNER_minus_FROZEN_SIMPLE,auxiliary,1397278,-0.5477709345610222,additional_benchmark_conditional_not_confirmatory,-1.2639653488235678,0.1350075752891316,1000,0,
50,RESPONSE_MODEL_minus_RANDOM,auxiliary,1397278,5.491882436120269,additional_benchmark_conditional_not_confirmatory,4.439431186563875,6.472673728118475,1000,0,
100,RESPONSE_MODEL_minus_FROZEN_SIMPLE,auxiliary,2794557,0.0,additional_benchmark_conditional_not_confirmatory,0.0,0.0,1000,0,
100,S_LEARNER_minus_FROZEN_SIMPLE,auxiliary,2794557,0.0,additional_benchmark_conditional_not_confirmatory,0.0,0.0,1000,0,
100,T_LEARNER_minus_FROZEN_SIMPLE,auxiliary,2794557,0.0,additional_benchmark_conditional_not_confirmatory,0.0,0.0,1000,0,
100,RESPONSE_MODEL_minus_RANDOM,auxiliary,2794557,0.0,additional_benchmark_conditional_not_confirmatory,0.0,0.0,1000,0,
