policy,nominal_capacity_percent,selected_n,c_actual,control_n,treatment_n,conversion_control,conversion_treatment,Q,reference_L,Q_minus_L,status,sparse_prefix
RANDOM,0,0,0.0,0,0,0,0,0.0,0.0,0.0,origin,False
RANDOM,1,27945,0.009999796032072347,4116,23829,4,79,55.84256559766764,26.90303158641689,28.939534011250746,point_estimate_only,True
RANDOM,2,55891,0.01999994990261426,8217,47674,13,148,72.57563587684069,53.807025886435014,18.76860999040568,point_estimate_only,False
RANDOM,3,83836,0.029999745934686607,12438,71398,23,203,70.97282521305675,80.7100574728519,-9.73723225979515,point_estimate_only,False
RANDOM,4,111782,0.03999989980522852,16651,95131,29,278,112.316317338298,107.61405177287003,4.702265565427979,point_estimate_only,False
RANDOM,5,139727,0.049999695837300864,20808,118919,36,352,146.25778546712803,134.51708335928691,11.740702107841116,point_estimate_only,False
RANDOM,6,167673,0.05999984970784278,25102,142571,42,432,193.45398773006136,161.42107765930504,32.032910070756316,point_estimate_only,False
RANDOM,7,195618,0.06999964573991513,29344,166274,52,510,215.34869138495094,188.32410924572193,27.02458213922901,point_estimate_only,False
RANDOM,8,223564,0.07999979961045704,33466,190098,61,577,230.49973107034003,215.22810354574005,15.271627524599978,point_estimate_only,False
RANDOM,9,251510,0.08999995348099896,37630,213880,76,644,212.0340154132341,242.13209784575818,-30.09808243252408,point_estimate_only,False
RANDOM,10,279455,0.0999997495130713,41861,237594,84,717,240.23413200831322,269.0351294321751,-28.800997423861872,point_estimate_only,False
RANDOM,11,307401,0.10999990338361322,46171,261230,90,790,280.7907561023153,295.9391237321932,-15.148367629877896,point_estimate_only,False
RANDOM,12,335346,0.11999969941568556,50426,284920,105,882,288.72272240510847,322.8421553186101,-34.11943291350161,point_estimate_only,False
RANDOM,13,363292,0.12999985328622748,54525,308767,112,968,333.76058688674925,349.74614961862824,-15.985562731878986,point_estimate_only,False
RANDOM,14,391237,0.13999964931829983,58725,332512,119,1039,365.19960834397614,376.6491812050451,-11.449572861068987,point_estimate_only,False
RANDOM,15,419183,0.14999980318884173,63012,356171,127,1117,399.1412270678601,403.5531755050632,-4.411948437203137,point_estimate_only,False
RANDOM,16,447129,0.15999995705938366,67212,379917,134,1191,433.5626673808249,430.4571698050814,3.1054975757435272,point_estimate_only,False
RANDOM,17,475074,0.16999975309145599,71515,403559,146,1274,450.12229602181355,457.3602013914982,-7.237905369684654,point_estimate_only,False
RANDOM,18,503020,0.1799999069619979,75696,427324,151,1349,496.56494398647226,484.26419569151636,12.300748294955895,point_estimate_only,False
RANDOM,19,530965,0.18999970299407026,79885,451080,156,1428,547.1277461350692,511.16722727793325,35.960518857135924,point_estimate_only,False
RANDOM,20,558911,0.19999985686461216,84012,474899,164,1505,577.9486739989526,538.0712215779514,39.87745242100118,point_estimate_only,False
RANDOM,21,586856,0.2099996528966845,88272,498584,167,1582,638.7390792097154,564.9742531643683,73.76482604534715,point_estimate_only,False
RANDOM,22,614802,0.21999980676722644,92418,522384,174,1651,667.4814646497435,591.8782474643864,75.60321718535715,point_estimate_only,False
RANDOM,23,642748,0.22999996063776834,96462,546286,185,1722,674.303394082644,618.7822417644045,55.5211523182395,point_estimate_only,False
RANDOM,24,670693,0.2399997566698407,100655,570038,191,1787,705.3124732998858,645.6852733508214,59.62719994906445,point_estimate_only,False
RANDOM,25,698639,0.24999991054038262,104781,593858,201,1858,718.8100896154838,672.5892676508396,46.22082196464419,point_estimate_only,False
RANDOM,26,726584,0.25999970657245497,108920,617664,211,1924,727.4603011384502,699.4922992372565,27.968001901193702,point_estimate_only,False
RANDOM,27,754530,0.26999986044299684,113127,641403,220,1995,747.6526823835159,726.3962935372745,21.256388846241407,point_estimate_only,False
RANDOM,28,782475,0.2799996564750692,117276,665199,226,2071,789.1096388007777,753.2993251236913,35.810313677086356,point_estimate_only,False
RANDOM,29,810421,0.2899998103456111,121457,688964,237,2139,794.6191244638021,780.2033194237096,14.41580504009255,point_estimate_only,False
RANDOM,30,838367,0.29999996421615305,125688,712679,246,2213,818.1251193431353,807.1073137237277,11.017805619407682,point_estimate_only,False
RANDOM,31,866312,0.3099997602482254,129930,736382,254,2289,849.447718002001,834.0103453101445,15.437372691856467,point_estimate_only,False
RANDOM,32,894258,0.3199999141187673,134047,760211,260,2348,873.4809134109678,860.9143396101628,12.566573800805031,point_estimate_only,False
RANDOM,33,922203,0.3299997101508397,138167,784036,270,2414,881.8706203362597,887.8173711965796,-5.94675086031998,point_estimate_only,False
RANDOM,34,950149,0.33999986402138155,142367,807782,284,2486,874.6006729087499,914.7213654965976,-40.12069258784777,point_estimate_only,False
RANDOM,35,978094,0.3499996600534539,146549,831545,292,2561,904.1402466069369,941.6243970830145,-37.484150476077616,point_estimate_only,False
RANDOM,36,1006040,0.3599998139239958,150693,855347,303,2636,916.1447910652785,968.5283913830327,-52.38360031775426,point_estimate_only,False
RANDOM,37,1033986,0.36999996779453775,154894,879092,310,2715,955.6128061771276,995.4323856830509,-39.81957950592334,point_estimate_only,False
RANDOM,38,1061931,0.3799997638266101,159124,902807,314,2795,1013.4874814609989,1022.3354172694678,-8.847935808468947,point_estimate_only,False
RANDOM,39,1089877,0.389999917697152,163412,926465,321,2894,1074.089191736225,1049.2394115694858,24.849780166739265,point_estimate_only,False
RANDOM,40,1117822,0.3999997137292243,167669,950153,332,2972,1090.6099040371207,1076.1424431559028,14.467460881217903,point_estimate_only,False
RANDOM,41,1145768,0.40999986759976625,171844,973924,339,3057,1135.7211889853588,1103.0464374559208,32.674751529438026,point_estimate_only,False
RANDOM,42,1173713,0.4199996636318386,176167,997546,345,3128,1174.4367900912202,1129.9494690423378,44.48732104888245,point_estimate_only,False
RANDOM,43,1201659,0.42999981750238053,180362,1021297,357,3182,1160.4930916711946,1156.853463342356,3.6396283288386257,point_estimate_only,False
RANDOM,44,1229605,0.43999997137292246,184565,1045040,365,3268,1201.3047977677243,1183.757457642374,17.547340125350274,point_estimate_only,False
RANDOM,45,1257550,0.44999976740499475,188752,1068798,375,3346,1222.582764685937,1210.6604892287908,11.92227545714627,point_estimate_only,False
RANDOM,46,1285496,0.4599999212755367,193044,1092452,384,3411,1237.9121651022565,1237.564483528809,0.3476815734475167,point_estimate_only,False
RANDOM,47,1313441,0.46999971730760903,197231,1116210,393,3482,1257.8540493127348,1264.467515115226,-6.613465802491191,point_estimate_only,False
RANDOM,48,1341387,0.47999987117815096,201410,1139977,402,3554,1278.6871853433295,1291.371509415244,-12.684324071914489,point_estimate_only,False
RANDOM,49,1369332,0.4899996672102233,205557,1163775,414,3622,1278.1107138166058,1318.274541001661,-40.1638271850552,point_estimate_only,False
RANDOM,50,1397278,0.49999982108076524,209697,1187581,424,3692,1290.752752781394,1345.1785353016792,-54.42578252028511,point_estimate_only,False
RANDOM,51,1425224,0.5099999749513071,213821,1211403,437,3760,1284.1762455511853,1372.0825296016972,-87.90628405051189,point_estimate_only,False
RANDOM,52,1453169,0.5199997709833795,218168,1235001,449,3823,1281.3098850427195,1398.985561188114,-117.67567614539439,point_estimate_only,False
RANDOM,53,1481115,0.5299999248539214,222401,1258714,456,3893,1312.1951295183026,1425.8895554881324,-113.69442596982981,point_estimate_only,False
RANDOM,54,1509060,0.5399997208859937,226564,1282496,463,3971,1350.1262159919493,1452.792587074549,-102.66637108259965,point_estimate_only,False
RANDOM,55,1537006,0.5499998747565357,230671,1306335,469,4035,1378.9612478378294,1479.6965813745674,-100.73533353673793,point_estimate_only,False
RANDOM,56,1564951,0.559999670788608,234868,1330083,477,4118,1416.697178840881,1506.5996129609841,-89.90243412010318,point_estimate_only,False
RANDOM,57,1592897,0.5699998246591499,239105,1353792,482,4192,1462.9573450994335,1533.5036072610021,-70.54626216156862,point_estimate_only,False
RANDOM,58,1620843,0.5799999785296919,243241,1377602,492,4266,1479.5446573562845,1560.4076015610206,-80.8629442047361,point_estimate_only,False
