phase,run_id,check,expected,actual,result
engineering_regression,engineering-regression-v101,python_version,"[3,11]","[3,11]",pass
engineering_regression,engineering-regression-v101,driver_venv,"""<PROJECT_ROOT>/.venv""","""<PROJECT_ROOT>/.venv""",pass
engineering_regression,engineering-regression-v101,pyspark,"""3.5.8""","""3.5.8""",pass
engineering_regression,engineering-regression-v101,spark_jvm,"""3.5.8""","""3.5.8""",pass
engineering_regression,engineering-regression-v101,java_major,"""17""","""17""",pass
engineering_regression,engineering-regression-v101,master,"""local[4]""","""local[4]""",pass
engineering_regression,engineering-regression-v101,driver_memory,"""4g""","""4g""",pass
engineering_regression,engineering-regression-v101,jvm_max_heap_bytes,4294967296,4294967296,pass
engineering_regression,engineering-regression-v101,utc,"""UTC""","""UTC""",pass
engineering_regression,engineering-regression-v101,shuffle,"""32""","""32""",pass
engineering_regression,engineering-regression-v101,catalog,"""in-memory""","""in-memory""",pass
engineering_regression,engineering-regression-v101,worker_python,true,true,pass
engineering_regression,engineering-regression-v101,schema,canonical_json_sha256:322dff2cec1327d7c9b4797eb4ff984b5c088b818817522f75c9199cefdae46b,canonical_json_sha256:322dff2cec1327d7c9b4797eb4ff984b5c088b818817522f75c9199cefdae46b,pass
engineering_regression,engineering-regression-v101,rows,100000,100000,pass
engineering_regression,engineering-regression-v101,expected_minus_actual_multiset,0,0,pass
engineering_regression,engineering-regression-v101,actual_minus_expected_multiset,0,0,pass
engineering_regression,engineering-regression-v101,summary_record_count,100000,100000,pass
engineering_regression,engineering-regression-v101,summary_flags,"{""amount_eligible"":1655,""brand_missing"":14391,""category_code_missing"":32587,""category_id_invalid"":0,""category_id_missing"":0,""event_eligible"":100000,""event_type_unknown"":0,""price_invalid"":0,""price_missing"":0,""price_negative"":0,""price_nonfinite"":0,""price_precision_exceeded"":0,""price_scale_exceeded"":0,""price_zero"":119,""product_id_invalid"":0,""product_id_missing"":0,""session_missing"":0,""time_invalid"":0,""time_missing"":0,""user_id_invalid"":0,""user_id_missing"":0}","{""amount_eligible"":1655,""brand_missing"":14391,""category_code_missing"":32587,""category_id_invalid"":0,""category_id_missing"":0,""event_eligible"":100000,""event_type_unknown"":0,""price_invalid"":0,""price_missing"":0,""price_negative"":0,""price_nonfinite"":0,""price_precision_exceeded"":0,""price_scale_exceeded"":0,""price_zero"":119,""product_id_invalid"":0,""product_id_missing"":0,""session_missing"":0,""time_invalid"":0,""time_missing"":0,""user_id_invalid"":0,""user_id_missing"":0}",pass
engineering_regression,engineering-regression-v101,summary_behaviors,"{""cart"":1215,""purchase"":1655,""view"":97130}","{""cart"":1215,""purchase"":1655,""view"":97130}",pass
engineering_regression,engineering-regression-v101,summary_zero_by_behavior,"{""__unknown__"":0,""cart"":0,""purchase"":0,""remove_from_cart"":0,""view"":119}","{""__unknown__"":0,""cart"":0,""purchase"":0,""remove_from_cart"":0,""view"":119}",pass
engineering_regression,engineering-regression-v101,summary_raw_users,20384,20384,pass
engineering_regression,engineering-regression-v101,summary_users,20384,20384,pass
engineering_regression,engineering-regression-v101,summary_buyers,1336,1336,pass
engineering_regression,engineering-regression-v101,summary_purchase_events,1655,1655,pass
engineering_regression,engineering-regression-v101,summary_purchase_price_bad_all,0,0,pass
engineering_regression,engineering-regression-v101,summary_purchase_price_bad_eligible,0,0,pass
engineering_regression,engineering-regression-v101,summary_purchase_amount,"""501176.21""","""501176.21""",pass
engineering_regression,engineering-regression-v101,summary_amount_status,"""complete_observed""","""complete_observed""",pass
engineering_regression,engineering-regression-v101,summary_time_min,"""2019-10-01T00:00:00+00:00""","""2019-10-01T00:00:00+00:00""",pass
engineering_regression,engineering-regression-v101,summary_time_max,"""2019-10-01T04:28:27+00:00""","""2019-10-01T04:28:27+00:00""",pass
engineering_regression,engineering-regression-v101,daily_bucket_keys,"[""2019-10-01""]","[""2019-10-01""]",pass
engineering_regression,engineering-regression-v101,daily_2019-10-01,canonical_json_sha256:3a21d2934338fb883a102d4ed153723a385432781af1377357a72e5f4d690ea3,canonical_json_sha256:3a21d2934338fb883a102d4ed153723a385432781af1377357a72e5f4d690ea3,pass
engineering_regression,engineering-regression-v101,historical_record_count,100000,100000,pass
engineering_regression,engineering-regression-v101,historical_users,20384,20384,pass
engineering_regression,engineering-regression-v101,historical_buyers,1336,1336,pass
engineering_regression,engineering-regression-v101,historical_purchase_events,1655,1655,pass
engineering_regression,engineering-regression-v101,historical_purchase_price_bad_eligible,0,0,pass
engineering_regression,engineering-regression-v101,historical_purchase_price_bad_all,0,0,pass
engineering_regression,engineering-regression-v101,historical_purchase_amount,"""501176.21""","""501176.21""",pass
engineering_regression,engineering-regression-v101,historical_time_min,"""2019-10-01T00:00:00+00:00""","""2019-10-01T00:00:00+00:00""",pass
engineering_regression,engineering-regression-v101,historical_time_max,"""2019-10-01T04:28:27+00:00""","""2019-10-01T04:28:27+00:00""",pass
engineering_regression,engineering-regression-v101,historical_flags,"{""amount_eligible"":1655,""brand_missing"":14391,""category_code_missing"":32587,""category_id_invalid"":0,""category_id_missing"":0,""event_eligible"":100000,""event_type_unknown"":0,""price_invalid"":0,""price_missing"":0,""price_negative"":0,""price_nonfinite"":0,""price_precision_exceeded"":0,""price_scale_exceeded"":0,""price_zero"":119,""product_id_invalid"":0,""product_id_missing"":0,""session_missing"":0,""time_invalid"":0,""time_missing"":0,""user_id_invalid"":0,""user_id_missing"":0}","{""amount_eligible"":1655,""brand_missing"":14391,""category_code_missing"":32587,""category_id_invalid"":0,""category_id_missing"":0,""event_eligible"":100000,""event_type_unknown"":0,""price_invalid"":0,""price_missing"":0,""price_negative"":0,""price_nonfinite"":0,""price_precision_exceeded"":0,""price_scale_exceeded"":0,""price_zero"":119,""product_id_invalid"":0,""product_id_missing"":0,""session_missing"":0,""time_invalid"":0,""time_missing"":0,""user_id_invalid"":0,""user_id_missing"":0}",pass
engineering_regression,engineering-regression-v101,historical_behaviors,"{""cart"":1215,""purchase"":1655,""view"":97130}","{""cart"":1215,""purchase"":1655,""view"":97130}",pass
engineering_regression,engineering-regression-v101,historical_amount_status,"""complete_observed""","""complete_observed""",pass
engineering_regression,engineering-regression-v101,historical_old_minus_new,0,0,pass
engineering_regression,engineering-regression-v101,historical_new_minus_old,0,0,pass
engineering_regression,engineering-regression-v101,input_sha256_after,"""fe2cd808172c853217201660a98a8c8600fb0230f5c89efda45a9a1a2fdae754""","""fe2cd808172c853217201660a98a8c8600fb0230f5c89efda45a9a1a2fdae754""",pass
month,month-v101-01,python_version,"[3,11]","[3,11]",pass
month,month-v101-01,driver_venv,"""<PROJECT_ROOT>/.venv""","""<PROJECT_ROOT>/.venv""",pass
month,month-v101-01,pyspark,"""3.5.8""","""3.5.8""",pass
month,month-v101-01,spark_jvm,"""3.5.8""","""3.5.8""",pass
month,month-v101-01,java_major,"""17""","""17""",pass
month,month-v101-01,master,"""local[4]""","""local[4]""",pass
month,month-v101-01,driver_memory,"""4g""","""4g""",pass
month,month-v101-01,jvm_max_heap_bytes,4294967296,4294967296,pass
month,month-v101-01,utc,"""UTC""","""UTC""",pass
month,month-v101-01,shuffle,"""32""","""32""",pass
month,month-v101-01,catalog,"""in-memory""","""in-memory""",pass
month,month-v101-01,worker_python,true,true,pass
month,month-v101-01,schema,canonical_json_sha256:322dff2cec1327d7c9b4797eb4ff984b5c088b818817522f75c9199cefdae46b,canonical_json_sha256:322dff2cec1327d7c9b4797eb4ff984b5c088b818817522f75c9199cefdae46b,pass
month,month-v101-01,rows,2114081,2114081,pass
month,month-v101-01,expected_minus_actual_multiset,0,0,pass
month,month-v101-01,actual_minus_expected_multiset,0,0,pass
month,month-v101-01,summary_record_count,2114081,2114081,pass
month,month-v101-01,summary_flags,"{""amount_eligible"":37019,""brand_missing"":299547,""category_code_missing"":669421,""category_id_invalid"":0,""category_id_missing"":0,""event_eligible"":2114081,""event_type_unknown"":0,""price_invalid"":0,""price_missing"":0,""price_negative"":0,""price_nonfinite"":0,""price_precision_exceeded"":0,""price_scale_exceeded"":0,""price_zero"":3292,""product_id_invalid"":0,""product_id_missing"":0,""session_missing"":0,""time_invalid"":0,""time_missing"":0,""user_id_invalid"":0,""user_id_missing"":0}","{""amount_eligible"":37019,""brand_missing"":299547,""category_code_missing"":669421,""category_id_invalid"":0,""category_id_missing"":0,""event_eligible"":2114081,""event_type_unknown"":0,""price_invalid"":0,""price_missing"":0,""price_negative"":0,""price_nonfinite"":0,""price_precision_exceeded"":0,""price_scale_exceeded"":0,""price_zero"":3292,""product_id_invalid"":0,""product_id_missing"":0,""session_missing"":0,""time_invalid"":0,""time_missing"":0,""user_id_invalid"":0,""user_id_missing"":0}",pass
month,month-v101-01,summary_behaviors,"{""cart"":46472,""purchase"":37019,""view"":2030590}","{""cart"":46472,""purchase"":37019,""view"":2030590}",pass
month,month-v101-01,summary_zero_by_behavior,"{""__unknown__"":0,""cart"":6,""purchase"":0,""remove_from_cart"":0,""view"":3286}","{""__unknown__"":0,""cart"":6,""purchase"":0,""remove_from_cart"":0,""view"":3286}",pass
month,month-v101-01,summary_raw_users,151121,151121,pass
month,month-v101-01,summary_users,151121,151121,pass
month,month-v101-01,summary_buyers,17121,17121,pass
month,month-v101-01,summary_purchase_events,37019,37019,pass
month,month-v101-01,summary_purchase_price_bad_all,0,0,pass
month,month-v101-01,summary_purchase_price_bad_eligible,0,0,pass
month,month-v101-01,summary_purchase_amount,"""11598630.22""","""11598630.22""",pass
month,month-v101-01,summary_amount_status,"""complete_observed""","""complete_observed""",pass
month,month-v101-01,summary_time_min,"""2019-10-01T00:00:23+00:00""","""2019-10-01T00:00:23+00:00""",pass
month,month-v101-01,summary_time_max,"""2019-10-31T23:59:56+00:00""","""2019-10-31T23:59:56+00:00""",pass
