round,effect,N,p0,delta,delta_fraction,delta_pp,q,q_fraction,n_A,n_B,K,tau,flips_B,buyers_A,buyers_B,mean_A,mean_B,difference,difference_pp,difference_per_10000,relative_change,se,ci_low,ci_high,p_value,df,method,unit,status,reason,estimation_error,two_sided_rejection,positive_rejection,negative_rejection,srm_status,srm_statistic,srm_p,srm_flag
1,0,84165,0.05717340937444306,0.0,0,0.0,0.0,0,42101,42064,0,0.0,0,2366,2446,0.05619819006674426,0.05814948649676683,0.0019512964300225713,0.19512964300225713,19.512964300225715,0.034721695266432914,0.001600576574196973,-0.0011857760099019976,0.00508836886994714,0.2227982902985567,,unpooled_wald_z_min_cell_10,probability,ok,,0.0019512964300225737,False,False,False,ok,0.016265668627101527,0.898515445554332,False
1,0.10,84165,0.05717340937444306,0.001,1/1000,0.1,0.0010606404294733658,5611/5290200,42101,42064,79,0.0009386324481672904,35,2366,2481,0.05619819006674426,0.05898155192088247,0.0027833618541382096,0.278336185413821,27.833618541382098,0.04952760668684394,0.0016060228351640947,-0.00036438506113232365,0.0059311087694087425,0.08308191547949756,,unpooled_wald_z_min_cell_10,probability,ok,,0.0018447294059709164,False,False,False,ok,0.016265668627101527,0.898515445554332,False
1,0.20,84165,0.05717340937444306,0.002,1/500,0.2,0.0021212808589467316,5611/2645100,42101,42064,154,0.0018297392027564901,70,2366,2516,0.05619819006674426,0.0598136173449981,0.003615427278253841,0.3615427278253841,36.15427278253841,0.06433351810725485,0.0016114404755366795,0.0004570619829718514,0.006773792573535831,0.024858172153116226,,unpooled_wald_z_min_cell_10,probability,ok,,0.00178568807549735,True,True,False,ok,0.016265668627101527,0.898515445554332,False
1,0.30,84165,0.05717340937444306,0.003,3/1000,0.3,0.0031819212884200976,5611/1763400,42101,42064,240,0.0028515416146854392,118,2366,2564,0.05619819006674426,0.06095473564092811,0.004756545574183854,0.4756545574183854,47.56545574183854,0.08463876805524702,0.0016188243666018444,0.0015837081183483741,0.007929383030019334,0.0033004780326253333,,unpooled_wald_z_min_cell_10,probability,ok,,0.0019050039594984123,True,True,False,ok,0.016265668627101527,0.898515445554332,False
1,0.40,84165,0.05717340937444306,0.004,1/250,0.4,0.004242561717893463,5611/1322550,42101,42064,328,0.003897106873403434,163,2366,2609,0.05619819006674426,0.06202453404336249,0.005826343976618235,0.5826343976618236,58.26343976618235,0.10367493988148957,0.0016256990124062063,0.002640032462599737,0.009012655490636734,0.00033850070104867776,,unpooled_wald_z_min_cell_10,probability,ok,,0.0019292371032148036,True,True,False,ok,0.016265668627101527,0.898515445554332,False
1,0.46,84165,0.05717340937444306,0.0046,23/5000,0.46,0.0048789459755774825,129053/26451000,42101,42064,378,0.004491178043129567,187,2366,2633,0.05619819006674426,0.0625950931913275,0.006396903124583242,0.6396903124583242,63.96903124583242,0.11382756485548566,0.0016293468021965627,0.0032034420739524717,0.009590364175214012,8.635086706351433e-05,,unpooled_wald_z_min_cell_10,probability,ok,,0.001905725081453676,True,True,False,ok,0.016265668627101527,0.898515445554332,False
1,0.50,84165,0.05717340937444306,0.005,1/200,0.5,0.00530320214736683,5611/1058040,42101,42064,415,0.004930790708726905,206,2366,2652,0.05619819006674426,0.06304678585013312,0.006848595783388867,0.6848595783388867,68.48595783388866,0.1218650596265658,0.0016322254915544432,0.003649492605293972,0.010047698961483761,2.7183362346792277e-05,,unpooled_wald_z_min_cell_10,probability,ok,,0.0019178050746619672,True,True,False,ok,0.016265668627101527,0.898515445554332,False
1,S1_REFERENCE,84165,0.05717340937444306,0.005717340937444306,802/140275,0.5717340937444306,0.006064042947336585,802/132255,42101,42064,473,0.00561991326560922,239,2366,2685,0.05619819006674426,0.06383130467858501,0.007633114611840755,0.7633114611840754,76.33114611840755,0.1358249189658105,0.0016372062492424207,0.004424249328061703,0.010841979895619807,3.127247014747351e-06,,unpooled_wald_z_min_cell_10,probability,ok,,0.0020132013462315357,True,True,False,ok,0.016265668627101527,0.898515445554332,False
1,0.80,84165,0.05717340937444306,0.008,1/125,0.8,0.008485123435786926,5611/661275,42101,42064,670,0.007960553674330184,341,2366,2787,0.05619819006674426,0.06625618105743629,0.010057990990692031,1.0057990990692032,100.5799099069203,0.17897357510529383,0.0016524504281564265,0.0068192476652676436,0.013296734316116419,1.152525201992666e-09,,unpooled_wald_z_min_cell_10,probability,ok,,0.002097437316361845,True,True,False,ok,0.016265668627101527,0.898515445554332,False
2,0,84165,0.05717340937444306,0.0,0,0.0,0.0,0,42200,41965,0,0.0,0,2392,2420,0.0566824644549763,0.057667103538663174,0.0009846390836868724,0.09846390836868724,9.846390836868723,0.017371141024910542,0.0016006180620189638,-0.0021525146708745954,0.00412179283824834,0.5384478742505725,,unpooled_wald_z_min_cell_10,probability,ok,,0.0009846390836868685,False,False,False,ok,0.6561516069625141,0.4179218674062265,False
2,0.10,84165,0.05717340937444306,0.001,1/1000,0.1,0.0010606404294733658,5611/5290200,42200,41965,85,0.0010099209885344265,53,2392,2473,0.0566824644549763,0.05893006076492315,0.0022475963099468504,0.22475963099468504,22.475963099468505,0.03965240981595196,0.0016089016817149007,-0.0009057930408802803,0.005400985660773981,0.16242092403032082,,unpooled_wald_z_min_cell_10,probability,ok,,0.0012376753214124205,False,False,False,ok,0.6561516069625141,0.4179218674062265,False
2,0.20,84165,0.05717340937444306,0.002,1/500,0.2,0.0021212808589467316,5611/2645100,42200,41965,176,0.0020911305174359887,104,2392,2524,0.0566824644549763,0.06014535922792803,0.0034628947729517315,0.3462894772951731,34.628947729517314,0.06109287601110496,0.0016168104498207358,0.00029400452147508496,0.006631785024428378,0.032209073977274426,,unpooled_wald_z_min_cell_10,probability,ok,,0.001371764255515743,True,True,False,ok,0.6561516069625141,0.4179218674062265,False
2,0.30,84165,0.05717340937444306,0.003,3/1000,0.3,0.0031819212884200976,5611/1763400,42200,41965,261,0.0031010515059704154,149,2392,2569,0.0566824644549763,0.06121768140116764,0.004535216946191335,0.4535216946191335,45.352169461913356,0.08001093441859296,0.0016237387851986943,0.0013527474069010754,0.0077176864854815955,0.005221030712251819,,unpooled_wald_z_min_cell_10,probability,ok,,0.0014341654402209212,True,True,False,ok,0.6561516069625141,0.4179218674062265,False
