alias,utc_date,low_paths,high_paths,low_successes,high_successes,standardized_weight
price_product_A,2019-10-01,98,0,6,0,
price_product_A,2019-10-02,80,0,5,0,
price_product_A,2019-10-03,66,0,2,0,
price_product_A,2019-10-04,112,0,4,0,
price_product_A,2019-10-05,98,0,8,0,
price_product_A,2019-10-06,75,0,3,0,
price_product_A,2019-10-07,55,0,3,0,
price_product_A,2019-10-08,16,0,3,0,
price_product_A,2019-10-10,0,42,0,1,
price_product_A,2019-10-11,0,76,0,3,
price_product_A,2019-10-12,0,87,0,2,
price_product_A,2019-10-13,0,112,0,3,
price_product_A,2019-10-14,0,79,0,5,
price_product_A,2019-10-15,0,72,0,3,
price_product_A,2019-10-16,0,75,0,4,
price_product_A,2019-10-17,0,65,0,2,
price_product_A,2019-10-18,0,69,0,4,
price_product_A,2019-10-19,0,76,0,5,
price_product_A,2019-10-20,0,60,0,3,
price_product_A,2019-10-21,0,65,0,1,
price_product_A,2019-10-22,0,10,0,0,
price_product_B,2019-10-01,31,0,0,0,
price_product_B,2019-10-02,25,0,0,0,
price_product_B,2019-10-03,16,12,0,0,0.2545454545454545
price_product_B,2019-10-04,0,51,0,2,
price_product_B,2019-10-05,0,43,0,0,
price_product_B,2019-10-06,0,37,0,0,
price_product_B,2019-10-07,2,39,0,3,
price_product_B,2019-10-08,117,0,1,0,
price_product_B,2019-10-09,28,11,0,0,0.35454545454545455
price_product_B,2019-10-10,0,17,0,0,
price_product_B,2019-10-11,0,43,0,2,
price_product_B,2019-10-12,0,71,0,2,
price_product_B,2019-10-13,0,38,0,0,
price_product_B,2019-10-14,0,30,0,1,
price_product_B,2019-10-15,0,18,0,0,
price_product_B,2019-10-16,0,21,0,2,
price_product_B,2019-10-17,0,56,0,4,
price_product_B,2019-10-18,0,40,0,2,
price_product_B,2019-10-19,0,34,0,4,
price_product_B,2019-10-20,0,57,0,2,
price_product_B,2019-10-21,0,68,0,5,
price_product_B,2019-10-22,0,49,0,3,
price_product_B,2019-10-23,0,37,0,1,
price_product_B,2019-10-24,0,46,0,1,
price_product_B,2019-10-25,0,48,0,2,
price_product_B,2019-10-26,8,34,0,4,
price_product_B,2019-10-27,26,0,1,0,
price_product_B,2019-10-28,15,28,1,0,0.39090909090909093
price_product_B,2019-10-29,0,41,0,1,
price_product_B,2019-10-30,0,42,0,4,
price_product_C,2019-10-01,17,0,1,0,
price_product_C,2019-10-02,8,0,0,0,
price_product_C,2019-10-03,14,0,0,0,
price_product_C,2019-10-04,10,0,0,0,
price_product_C,2019-10-05,14,0,1,0,
price_product_C,2019-10-06,14,0,0,0,
price_product_C,2019-10-07,8,0,0,0,
price_product_C,2019-10-08,9,0,0,0,
price_product_C,2019-10-09,14,0,0,0,
price_product_C,2019-10-10,10,0,0,0,
price_product_C,2019-10-11,23,0,0,0,
price_product_C,2019-10-12,13,0,0,0,
price_product_C,2019-10-13,16,0,1,0,
price_product_C,2019-10-14,9,0,0,0,
price_product_C,2019-10-15,11,0,0,0,
price_product_C,2019-10-16,14,0,0,0,
price_product_C,2019-10-17,24,0,0,0,
price_product_C,2019-10-18,11,0,0,0,
price_product_C,2019-10-19,10,0,0,0,
price_product_C,2019-10-20,12,0,0,0,
price_product_C,2019-10-21,7,0,0,0,
price_product_C,2019-10-22,8,0,0,0,
price_product_C,2019-10-23,3,17,0,0,
price_product_C,2019-10-24,0,16,0,0,
price_product_C,2019-10-25,0,43,0,0,
price_product_C,2019-10-26,0,25,0,0,
price_product_C,2019-10-27,0,40,0,0,
price_product_C,2019-10-28,0,60,0,0,
price_product_C,2019-10-29,0,48,0,2,
price_product_C,2019-10-30,0,20,0,0,
