measure,value,unit,definition
formal_positive_usable,1339581,paths,mutually_exclusive_price_status
formal_zero_price,2417,paths,mutually_exclusive_price_status
formal_conflicting,0,paths,mutually_exclusive_price_status
formal_invalid_or_missing,0,paths,mutually_exclusive_price_status
formal_negative_price,0,paths,mutually_exclusive_price_status
formal_products,93946,products,
positive_usable_products,93411,products,
at_least_two_prices,20894,products,
paths_ok_standalone,65,products,among_products_with_two_prices
paths_ok_cumulative,65,products,conditions_in_paths_users_days_coverage_gap_order
users_ok_standalone,170,products,among_products_with_two_prices
users_ok_cumulative,65,products,conditions_in_paths_users_days_coverage_gap_order
days_ok_standalone,6857,products,among_products_with_two_prices
days_ok_cumulative,65,products,conditions_in_paths_users_days_coverage_gap_order
coverage_ok_standalone,16984,products,among_products_with_two_prices
coverage_ok_cumulative,16,products,conditions_in_paths_users_days_coverage_gap_order
gap_ok_standalone,10733,products,among_products_with_two_prices
gap_ok_cumulative,9,products,conditions_in_paths_users_days_coverage_gap_order
final_candidates,9,products,
candidate_all_usable_paths,11846,paths,independently_deduplicated_across_products_for_users
candidate_all_usable_distinct_users,8765,distinct_users,independently_deduplicated_across_products_for_users
candidate_all_usable_success_paths,367,success_paths,independently_deduplicated_across_products_for_users
candidate_price_pairs_paths,9637,paths,independently_deduplicated_across_products_for_users
candidate_price_pairs_distinct_users,7388,distinct_users,independently_deduplicated_across_products_for_users
candidate_price_pairs_success_paths,298,success_paths,independently_deduplicated_across_products_for_users
