scenario_type,alias,branch,m,d,required_rate_ratio,required_relative_lift,required_low_rate,contribution_difference,status,P_high,P_low,p_high,p_low,observed_relative_difference,observed_minus_required_low_rate,contribution_ci_low,contribution_ci_high,bootstrap_valid,interval_status
generic_hypothesis_grid,,hypothesis_only,0.20,0.05,1.333333333333333333333333333,0.3333333333333333333333333333,,,defined,,,,,,,,,,
generic_hypothesis_grid,,hypothesis_only,0.20,0.10,2,1,,,defined,,,,,,,,,,
generic_hypothesis_grid,,hypothesis_only,0.20,0.20,,,,,unit_contribution_nonpositive,,,,,,,,,,
generic_hypothesis_grid,,hypothesis_only,0.30,0.05,1.2,0.2,,,defined,,,,,,,,,,
generic_hypothesis_grid,,hypothesis_only,0.30,0.10,1.5,0.5,,,defined,,,,,,,,,,
generic_hypothesis_grid,,hypothesis_only,0.30,0.20,3,2,,,defined,,,,,,,,,,
generic_hypothesis_grid,,hypothesis_only,0.40,0.05,1.142857142857142857142857143,0.1428571428571428571428571429,,,defined,,,,,,,,,,
generic_hypothesis_grid,,hypothesis_only,0.40,0.10,1.333333333333333333333333333,0.3333333333333333333333333333,,,defined,,,,,,,,,,
generic_hypothesis_grid,,hypothesis_only,0.40,0.20,2,1,,,defined,,,,,,,,,,
observed_price_pair_conditional_comparison,price_product_A,raw,0.20,0.03214381380398226137682669127,1.191496152345827866236391362,0.1914961523458278662363913614,0.04830389806807410204120713501,0.001403742442999563407696657637,defined,1007.97,975.57,0.04054054054054054,0.056666666666666664,0.3977777777777776,0.00836276859859256195879286499,-0.005161572351331204,0.00913218549582227,1000,descriptive_cluster_interval
observed_price_pair_conditional_comparison,price_product_A,raw,0.30,0.03214381380398226137682669127,1.120004000133337777925930864,0.1200040001333377779259308644,0.04540556757297315255375179173,0.00301635505561217580769665764,defined,1007.97,975.57,0.04054054054054054,0.056666666666666664,0.3977777777777776,0.01126109909369351144624820827,-0.0072954274913564,0.015116019838839216,1000,descriptive_cluster_interval
observed_price_pair_conditional_comparison,price_product_A,raw,0.40,0.03214381380398226137682669127,1.087381468655943558043949642,0.08738146865594355804394964239,0.04408303251307879230589986731,0.00462896766822478820769665764,defined,1007.97,975.57,0.04054054054054054,0.056666666666666664,0.3977777777777776,0.01258363415358787169410013269,-0.009389016517331816,0.02119736810318115,1000,descriptive_cluster_interval
observed_price_pair_conditional_comparison,price_product_B,raw,0.20,0.06303444905936965550940630344,1.460221191580449518373171601,0.4602211915804495183731716017,0.06499500852731971462004994646,-0.007368880685581987338187148790,defined,40.93,38.35,0.04451038575667656,0.011194029850746268,-0.7485074626865672,-0.05380097867657344662004994646,-0.011458005973455788,-0.0033722844493401316,1000,sparse_successes_not_suitable_for_inference
observed_price_pair_conditional_comparison,price_product_B,raw,0.30,0.06303444905936965550940630344,1.266006804825239715434580884,0.2660068048252397154345808846,0.05635045125334895146303742653,-0.01070051627617501653818714879,defined,40.93,38.35,0.04451038575667656,0.011194029850746268,-0.7485074626865672,-0.04515642140260268346303742653,-0.016992393714101064,-0.004620839892015122,1000,sparse_successes_not_suitable_for_inference
observed_price_pair_conditional_comparison,price_product_B,raw,0.40,0.06303444905936965550940630344,1.187064965197215777262180974,0.1870649651972157772621809744,0.05283671951916390953596287702,-0.01403215186676804573818714879,defined,40.93,38.35,0.04451038575667656,0.011194029850746268,-0.7485074626865672,-0.04164268966841764153596287702,-0.022448685921190172,-0.005628111284658492,1000,sparse_successes_not_suitable_for_inference
observed_price_pair_conditional_comparison,price_product_B,date_standardized,0.20,0.06303444905936965550940630344,,,,0.003569405266937639471585634010,zero_high_rate_no_relative_threshold,40.93,38.35,0.0,0.026060606060606062,,,0.0,0.011898017556458798,1000,sparse_successes_not_suitable_for_inference
observed_price_pair_conditional_comparison,price_product_B,date_standardized,0.30,0.06303444905936965550940630344,,,,0.006175465872998245671585634010,zero_high_rate_no_relative_threshold,40.93,38.35,0.0,0.026060606060606062,,,0.0,0.020584886243327483,1000,sparse_successes_not_suitable_for_inference
observed_price_pair_conditional_comparison,price_product_B,date_standardized,0.40,0.06303444905936965550940630344,,,,0.008781526479058851871585634010,zero_high_rate_no_relative_threshold,40.93,38.35,0.0,0.026060606060606062,,,0.0,0.029271754930196174,1000,sparse_successes_not_suitable_for_inference
observed_price_pair_conditional_comparison,price_product_C,raw,0.20,0.08026584867075664621676891616,1.670367207514944491887275833,0.6703672075149444918872758329,0.01241908704472077586678052947,-0.000199524854796079906748466258,defined,176.04,161.91,0.007434944237918215,0.010752688172043012,0.4462365591397851,-0.00166639887267776386678052947,-0.0028903382347700885,0.002575125294389497,1000,sparse_successes_not_suitable_for_inference
observed_price_pair_conditional_comparison,price_product_C,raw,0.30,0.08026584867075664621676891616,1.365286179618427175430432760,0.3652861796184271754304327595,0.01015082661426339823638901815,0.000132249538616399793251533742,defined,176.04,161.91,0.007434944237918215,0.010752688172043012,0.4462365591397851,0.00060186155777961376361098185,-0.0041558903925523125,0.00483292227061437,1000,sparse_successes_not_suitable_for_inference
observed_price_pair_conditional_comparison,price_product_C,raw,0.40,0.08026584867075664621676891616,1.251039334825711544611448673,0.2510393348257115446114486729,0.009301407693871460530860249442,0.000464023932028879493251533742,defined,176.04,161.91,0.007434944237918215,0.010752688172043012,0.4462365591397851,0.001451280478171551469139750558,-0.005451835087101944,0.007186629398556734,1000,sparse_successes_not_suitable_for_inference
