level,utc_date,reason,purchase_events
day,2019-10-01,no_view_same_key,4
day,2019-10-01,purchase_at_or_before_first_view,12
day,2019-10-01,within_path_window,976
day,2019-10-02,no_view_same_key,3
day,2019-10-02,purchase_at_or_before_first_view,4
day,2019-10-02,within_path_window,919
day,2019-10-03,no_view_same_key,5
day,2019-10-03,purchase_at_or_before_first_view,1
day,2019-10-03,within_path_window,965
day,2019-10-04,no_view_same_key,1
day,2019-10-04,within_path_window,1312
day,2019-10-05,no_view_same_key,1
day,2019-10-05,within_path_window,1156
day,2019-10-06,purchase_at_or_before_first_view,1
day,2019-10-06,within_path_window,1066
day,2019-10-07,no_view_same_key,1
day,2019-10-07,purchase_at_or_before_first_view,3
day,2019-10-07,within_path_window,1063
day,2019-10-08,no_view_same_key,2
day,2019-10-08,purchase_at_or_before_first_view,1
day,2019-10-08,within_path_window,1033
day,2019-10-09,beyond_24_hours,1
day,2019-10-09,no_view_same_key,1
day,2019-10-09,purchase_at_or_before_first_view,4
day,2019-10-09,within_path_window,1152
day,2019-10-10,beyond_24_hours,1
day,2019-10-10,no_view_same_key,1
day,2019-10-10,purchase_at_or_before_first_view,2
day,2019-10-10,within_path_window,1083
day,2019-10-11,purchase_at_or_before_first_view,2
day,2019-10-11,within_path_window,1333
day,2019-10-12,no_view_same_key,2
day,2019-10-12,within_path_window,1241
day,2019-10-13,no_view_same_key,2
day,2019-10-13,within_path_window,1497
day,2019-10-14,no_view_same_key,4
day,2019-10-14,purchase_at_or_before_first_view,2
day,2019-10-14,within_path_window,1448
day,2019-10-15,purchase_at_or_before_first_view,1
day,2019-10-15,within_path_window,1300
day,2019-10-16,no_view_same_key,2
day,2019-10-16,within_path_window,1633
day,2019-10-17,no_view_same_key,1
day,2019-10-17,purchase_at_or_before_first_view,1
day,2019-10-17,within_path_window,1455
day,2019-10-18,no_view_same_key,3
day,2019-10-18,within_path_window,1392
day,2019-10-19,no_view_same_key,1
day,2019-10-19,within_path_window,1242
day,2019-10-20,no_view_same_key,1
day,2019-10-20,purchase_at_or_before_first_view,2
day,2019-10-20,within_path_window,1287
day,2019-10-21,no_view_same_key,3
day,2019-10-21,purchase_at_or_before_first_view,5
day,2019-10-21,within_path_window,1317
day,2019-10-22,no_view_same_key,2
day,2019-10-22,purchase_at_or_before_first_view,2
day,2019-10-22,within_path_window,1281
day,2019-10-23,no_view_same_key,3
day,2019-10-23,purchase_at_or_before_first_view,1
day,2019-10-23,within_path_window,1150
day,2019-10-24,no_view_same_key,2
day,2019-10-24,purchase_at_or_before_first_view,2
day,2019-10-24,within_path_window,1154
day,2019-10-25,within_path_window,1228
day,2019-10-26,no_view_same_key,11
day,2019-10-26,purchase_at_or_before_first_view,8
day,2019-10-26,within_path_window,1158
day,2019-10-27,no_view_same_key,1
day,2019-10-27,purchase_at_or_before_first_view,5
day,2019-10-27,within_path_window,1142
day,2019-10-28,no_view_same_key,3
day,2019-10-28,purchase_at_or_before_first_view,4
day,2019-10-28,within_path_window,1086
day,2019-10-29,no_view_same_key,3
day,2019-10-29,purchase_at_or_before_first_view,1
day,2019-10-29,within_path_window,913
day,2019-10-30,no_view_same_key,3
day,2019-10-30,within_path_window,975
day,2019-10-31,no_view_same_key,2
day,2019-10-31,start_outside_formal_range,928
month,,beyond_24_hours,2
month,,no_view_same_key,68
month,,purchase_at_or_before_first_view,64
month,,start_outside_formal_range,928
month,,within_path_window,35957
