utc_date,branch,history_dates,history_count,current_amount,median_amount,mean_amount,relative_to_median,relative_to_mean,score,candidate,status,reason
2019-11-22,original,2019-11-15;2019-11-08;2019-11-01;2019-10-25,4,344057.94,353286.125,278129.0775,-0.0261209947036555709624882664157840900,0.237044120279009662339242469,-0.182518827771981376805262209387247118,False,evaluated,
2019-11-22,exclude_15_17_history_posthoc,2019-11-08;2019-11-01;2019-10-25,3,344057.94,368832.94,370838.77,-0.0671713323652708459282405741743131728,-0.0722169097907427532455681481,-0.537425465152593806279892930039344851,False,evaluated_with_history_gaps,quality_blocked:2019-11-15
2019-11-23,original,2019-11-16;2019-11-09;2019-11-02;2019-10-26,4,334072.88,334362.77,531335.065,-0.000866992458520426780768684264698489009,-0.3712576074759906914857953145,-0.00917606458197400492238498988133859415,False,evaluated,
2019-11-23,exclude_15_17_history_posthoc,2019-11-09;2019-11-02;2019-10-26,3,334072.88,314406.36,326809.2433333333333333333333,0.0625512791789580846901443087856110799,0.022225921741319984900875866,4.90534471244842168037370461124746566,False,evaluated_with_history_gaps,quality_blocked:2019-11-16
2019-11-24,original,2019-11-17;2019-11-10;2019-11-03;2019-10-27,4,315923.88,328510.12,961483.9875,-0.0383130967167769443449717774295659446,-0.6714205497884071626309845332,-0.409303010434935903166744501779187414,False,evaluated,
2019-11-24,exclude_15_17_history_posthoc,2019-11-10;2019-11-03;2019-10-27,3,315923.88,319105.25,317817.8266666666666666666667,-0.00996965734659645994542552966458558736,-0.0059592209994346027244035022,-0.114079443281834601543592887059686165,False,evaluated_with_history_gaps,quality_blocked:2019-11-17
2019-11-29,original,2019-11-22;2019-11-15;2019-11-08;2019-11-01,4,501273.12,340898.625,271935.3275,0.470446294701247328292978594442849395,0.843354170303599115859633942,3.17195253800433004480823045626675407,True,evaluated,
2019-11-29,exclude_15_17_history_posthoc,2019-11-22;2019-11-08;2019-11-01,3,501273.12,344057.94,362580.4366666666666666666667,0.456943908924177131328519841745259534,0.382515627727699336894725456,16.7821483706831410511878521674402096,True,evaluated_with_history_gaps,quality_blocked:2019-11-15
2019-11-30,original,2019-11-23;2019-11-16;2019-11-09;2019-11-02,4,422523.92,324239.62,526273.49,0.303122425322358815989236602238801045,-0.1971400269468256894338341078,5.92667031295194942403105084029658904,True,evaluated,
2019-11-30,exclude_15_17_history_posthoc,2019-11-23;2019-11-09;2019-11-02,3,422523.92,314406.36,320060.4766666666666666666667,0.343878412637708728283995272869162061,0.320137757715226798335393760,26.9673486345741380749163975491761910,True,evaluated_with_history_gaps,quality_blocked:2019-11-16
