identity,utc_hour,scan_status,event_records,view,cart,purchase,purchase_amount,purchase_amount_bad
full_source,2019-11-14T00:00:00Z,complete,15198,14661,412,125,31063.01,0
full_source,2019-11-14T01:00:00Z,complete,16071,15527,440,104,26157.32,0
full_source,2019-11-14T02:00:00Z,complete,51743,49908,1442,393,106198.02,0
full_source,2019-11-14T03:00:00Z,complete,80597,77055,2664,878,267911.14,0
full_source,2019-11-14T04:00:00Z,complete,101876,96828,3840,1208,321211.76,0
full_source,2019-11-14T05:00:00Z,complete,112228,106323,4426,1479,433939.03,0
full_source,2019-11-14T06:00:00Z,complete,118719,112520,4689,1510,471818.64,0
full_source,2019-11-14T07:00:00Z,complete,120828,113899,5245,1684,507025.59,0
full_source,2019-11-14T08:00:00Z,complete,126148,119178,5239,1731,534596.56,0
full_source,2019-11-14T09:00:00Z,complete,119678,112774,5238,1666,517764.35,0
full_source,2019-11-14T10:00:00Z,complete,119872,113570,4821,1481,452163.07,0
full_source,2019-11-14T11:00:00Z,complete,118515,112628,4461,1426,462624.35,0
full_source,2019-11-14T12:00:00Z,complete,125265,119473,4527,1265,405427.79,0
full_source,2019-11-14T13:00:00Z,complete,150712,144772,4714,1226,380984.31,0
full_source,2019-11-14T14:00:00Z,complete,215052,206955,6672,1425,445330.07,0
full_source,2019-11-14T15:00:00Z,complete,141086,133679,6382,1025,326285.68,0
full_source,2019-11-14T16:00:00Z,complete,175142,166726,7035,1381,420037.60,0
full_source,2019-11-14T17:00:00Z,complete,275359,265817,7982,1560,498823.68,0
full_source,2019-11-14T18:00:00Z,complete,236952,197397,38998,557,340563.16,0
full_source,2019-11-14T19:00:00Z,complete,223471,203384,20087,0,0.00,0
full_source,2019-11-14T20:00:00Z,complete,187681,172864,14817,0,0.00,0
full_source,2019-11-14T21:00:00Z,complete,121746,113334,8412,0,0.00,0
full_source,2019-11-14T22:00:00Z,complete,65352,60791,4561,0,0.00,0
full_source,2019-11-14T23:00:00Z,complete,50435,47067,3368,0,0.00,0
full_source,2019-11-15T00:00:00Z,complete,80049,73315,6734,0,0.00,0
full_source,2019-11-15T01:00:00Z,complete,164700,150961,13739,0,0.00,0
full_source,2019-11-15T02:00:00Z,complete,282332,259630,22702,0,0.00,0
full_source,2019-11-15T03:00:00Z,complete,291362,264031,27331,0,0.00,0
full_source,2019-11-15T04:00:00Z,complete,290052,261919,28133,0,0.00,0
full_source,2019-11-15T05:00:00Z,complete,290064,262766,27298,0,0.00,0
full_source,2019-11-15T06:00:00Z,complete,278245,251698,26547,0,0.00,0
full_source,2019-11-15T07:00:00Z,complete,307784,279119,28665,0,0.00,0
full_source,2019-11-15T08:00:00Z,complete,359062,327605,31457,0,0.00,0
full_source,2019-11-15T09:00:00Z,complete,345148,315388,29760,0,0.00,0
full_source,2019-11-15T10:00:00Z,complete,328574,299814,28760,0,0.00,0
full_source,2019-11-15T11:00:00Z,complete,302014,274816,27198,0,0.00,0
full_source,2019-11-15T12:00:00Z,complete,278549,255919,22630,0,0.00,0
full_source,2019-11-15T13:00:00Z,complete,305769,282759,23010,0,0.00,0
full_source,2019-11-15T14:00:00Z,complete,318487,295949,22538,0,0.00,0
full_source,2019-11-15T15:00:00Z,complete,328594,306443,22151,0,0.00,0
full_source,2019-11-15T16:00:00Z,complete,334651,313722,20929,0,0.00,0
full_source,2019-11-15T17:00:00Z,complete,337598,317914,19684,0,0.00,0
full_source,2019-11-15T18:00:00Z,complete,319955,303242,16713,0,0.00,0
full_source,2019-11-15T19:00:00Z,complete,293124,276806,16318,0,0.00,0
full_source,2019-11-15T20:00:00Z,complete,203228,192309,10919,0,0.00,0
full_source,2019-11-15T21:00:00Z,complete,107573,101676,5897,0,0.00,0
full_source,2019-11-15T22:00:00Z,complete,61474,58178,3296,0,0.00,0
full_source,2019-11-15T23:00:00Z,complete,12028,11132,896,0,0.00,0
full_source,2019-11-16T00:00:00Z,complete,24391,22957,1434,0,0.00,0
full_source,2019-11-16T01:00:00Z,complete,115334,109184,6150,0,0.00,0
full_source,2019-11-16T02:00:00Z,complete,213247,201140,12107,0,0.00,0
full_source,2019-11-16T03:00:00Z,complete,232954,213666,19288,0,0.00,0
full_source,2019-11-16T04:00:00Z,complete,323628,299433,24195,0,0.00,0
full_source,2019-11-16T05:00:00Z,complete,369225,343805,25420,0,0.00,0
full_source,2019-11-16T06:00:00Z,complete,383429,356791,26638,0,0.00,0
full_source,2019-11-16T07:00:00Z,complete,380274,353085,27189,0,0.00,0
full_source,2019-11-16T08:00:00Z,complete,369025,338356,25410,5259,1791916.48,0
full_source,2019-11-16T09:00:00Z,complete,383999,346288,25907,11804,4063304.27,0
full_source,2019-11-16T10:00:00Z,complete,367883,332179,25244,10460,3682918.23,0
full_source,2019-11-16T11:00:00Z,complete,370662,337891,24583,8188,2837200.83,0
full_source,2019-11-16T12:00:00Z,complete,371212,338709,22535,9968,3478886.26,0
full_source,2019-11-16T13:00:00Z,complete,352080,323832,19003,9245,3096622.07,0
full_source,2019-11-16T14:00:00Z,complete,348490,320827,18321,9342,3170130.62,0
full_source,2019-11-16T15:00:00Z,complete,316350,292305,20064,3981,1321991.11,0
full_source,2019-11-16T16:00:00Z,complete,333525,311054,22471,0,0.00,0
full_source,2019-11-16T17:00:00Z,complete,346965,328008,18957,0,0.00,0
full_source,2019-11-16T18:00:00Z,complete,341797,324969,16828,0,0.00,0
full_source,2019-11-16T19:00:00Z,complete,264801,253126,11675,0,0.00,0
full_source,2019-11-16T20:00:00Z,complete,148934,142602,6332,0,0.00,0
full_source,2019-11-16T21:00:00Z,complete,83711,79847,3864,0,0.00,0
full_source,2019-11-16T22:00:00Z,complete,29467,27829,1638,0,0.00,0
full_source,2019-11-16T23:00:00Z,complete,31574,30049,1525,0,0.00,0
full_source,2019-11-17T00:00:00Z,complete,34646,33260,1386,0,0.00,0
full_source,2019-11-17T01:00:00Z,complete,48077,45832,2245,0,0.00,0
full_source,2019-11-17T02:00:00Z,complete,116665,110451,6214,0,0.00,0
full_source,2019-11-17T03:00:00Z,complete,232346,216689,13785,1872,587978.47,0
full_source,2019-11-17T04:00:00Z,complete,342167,311302,21927,8938,2695168.81,0
full_source,2019-11-17T05:00:00Z,complete,387647,351239,25437,10971,3465990.06,0
full_source,2019-11-17T06:00:00Z,complete,371985,336504,23526,11955,3745651.11,0
full_source,2019-11-17T07:00:00Z,complete,351354,317105,22560,11689,3641306.19,0
full_source,2019-11-17T08:00:00Z,complete,334503,302512,20106,11885,3842299.22,0
full_source,2019-11-17T09:00:00Z,complete,307846,278107,18237,11502,3753400.03,0
full_source,2019-11-17T10:00:00Z,complete,393991,353312,27441,13238,4289937.29,0
full_source,2019-11-17T11:00:00Z,complete,457256,408082,34698,14476,4732814.39,0
full_source,2019-11-17T12:00:00Z,complete,475158,425332,35348,14478,4635494.39,0
full_source,2019-11-17T13:00:00Z,complete,465828,417352,34217,14259,4432830.06,0
full_source,2019-11-17T14:00:00Z,complete,480916,433606,33397,13913,4361128.14,0
full_source,2019-11-17T15:00:00Z,complete,470908,424854,32420,13634,4089485.19,0
full_source,2019-11-17T16:00:00Z,complete,439462,395520,30433,13509,3910915.98,0
full_source,2019-11-17T17:00:00Z,complete,447046,398189,32981,15876,4617867.68,0
full_source,2019-11-17T18:00:00Z,complete,48549,43381,4550,618,210685.19,0
full_source,2019-11-17T19:00:00Z,complete,89372,85445,2834,1093,333945.02,0
full_source,2019-11-17T20:00:00Z,complete,48114,45994,1532,588,169541.30,0
full_source,2019-11-17T21:00:00Z,complete,25516,24330,829,357,136466.51,0
full_source,2019-11-17T22:00:00Z,complete,14955,14278,475,202,68190.05,0
full_source,2019-11-17T23:00:00Z,complete,11070,10565,363,142,53386.84,0
full_source,2019-11-18T00:00:00Z,complete,15394,14897,387,110,35087.77,0
full_source,2019-11-18T01:00:00Z,complete,31239,30075,917,247,68787.63,0
full_source,2019-11-18T02:00:00Z,complete,55190,52764,1874,552,136637.89,0
full_source,2019-11-18T03:00:00Z,complete,84338,79786,3389,1163,341497.90,0
full_source,2019-11-18T04:00:00Z,complete,103036,96861,4570,1605,464427.52,0
full_source,2019-11-18T05:00:00Z,complete,111863,104850,5212,1801,535576.51,0
full_source,2019-11-18T06:00:00Z,complete,116285,108494,5766,2025,541148.88,0
full_source,2019-11-18T07:00:00Z,complete,114373,106819,5606,1948,541832.37,0
full_source,2019-11-18T08:00:00Z,complete,115063,106973,5962,2128,630602.69,0
full_source,2019-11-18T09:00:00Z,complete,112683,104648,5950,2085,646590.58,0
full_source,2019-11-18T10:00:00Z,complete,107152,100001,5255,1896,573822.21,0
full_source,2019-11-18T11:00:00Z,complete,98122,91470,4946,1706,496210.54,0
full_source,2019-11-18T12:00:00Z,complete,97991,91851,4582,1558,440909.74,0
full_source,2019-11-18T13:00:00Z,complete,108819,102548,4690,1581,434780.73,0
full_source,2019-11-18T14:00:00Z,complete,123762,117505,4739,1518,445197.11,0
full_source,2019-11-18T15:00:00Z,complete,135245,129053,4696,1496,415319.80,0
full_source,2019-11-18T16:00:00Z,complete,136700,131293,4129,1278,362089.62,0
full_source,2019-11-18T17:00:00Z,complete,128944,124018,3693,1233,329826.72,0
full_source,2019-11-18T18:00:00Z,complete,95146,91236,2856,1054,320822.49,0
full_source,2019-11-18T19:00:00Z,complete,59761,57129,1899,733,214213.27,0
full_source,2019-11-18T20:00:00Z,complete,32893,31685,872,336,107596.02,0
full_source,2019-11-18T21:00:00Z,complete,18073,17263,572,238,80821.54,0
full_source,2019-11-18T22:00:00Z,complete,11300,10762,381,157,52575.46,0
full_source,2019-11-18T23:00:00Z,complete,8140,7797,254,89,34632.91,0
fixed_user_sample,2019-11-14T00:00:00Z,complete,901,859,28,14,2153.58,0
fixed_user_sample,2019-11-14T01:00:00Z,complete,819,796,16,7,2931.08,0
fixed_user_sample,2019-11-14T02:00:00Z,complete,2503,2415,68,20,3204.91,0
fixed_user_sample,2019-11-14T03:00:00Z,complete,3979,3805,127,47,10630.64,0
fixed_user_sample,2019-11-14T04:00:00Z,complete,4875,4620,187,68,20177.12,0
fixed_user_sample,2019-11-14T05:00:00Z,complete,5386,5120,199,67,12943.99,0
fixed_user_sample,2019-11-14T06:00:00Z,complete,5996,5683,235,78,27022.23,0
fixed_user_sample,2019-11-14T07:00:00Z,complete,5991,5699,217,75,24235.80,0
fixed_user_sample,2019-11-14T08:00:00Z,complete,6153,5794,262,97,28639.29,0
fixed_user_sample,2019-11-14T09:00:00Z,complete,5914,5567,266,81,23032.73,0
fixed_user_sample,2019-11-14T10:00:00Z,complete,5917,5594,251,72,23340.91,0
fixed_user_sample,2019-11-14T11:00:00Z,complete,6597,6293,228,76,24263.66,0
fixed_user_sample,2019-11-14T12:00:00Z,complete,6573,6255,253,65,18020.03,0
fixed_user_sample,2019-11-14T13:00:00Z,complete,7025,6714,239,72,19306.73,0
fixed_user_sample,2019-11-14T14:00:00Z,complete,10712,10293,334,85,20970.88,0
fixed_user_sample,2019-11-14T15:00:00Z,complete,7070,6693,337,40,14748.31,0
fixed_user_sample,2019-11-14T16:00:00Z,complete,8968,8545,357,66,20847.78,0
fixed_user_sample,2019-11-14T17:00:00Z,complete,13668,13203,381,84,24733.89,0
fixed_user_sample,2019-11-14T18:00:00Z,complete,11285,9398,1858,29,15857.32,0
fixed_user_sample,2019-11-14T19:00:00Z,complete,11369,10252,1117,0,0.00,0
fixed_user_sample,2019-11-14T20:00:00Z,complete,9615,8862,753,0,0.00,0
fixed_user_sample,2019-11-14T21:00:00Z,complete,6086,5643,443,0,0.00,0
fixed_user_sample,2019-11-14T22:00:00Z,complete,2980,2785,195,0,0.00,0
fixed_user_sample,2019-11-14T23:00:00Z,complete,2542,2374,168,0,0.00,0
fixed_user_sample,2019-11-15T00:00:00Z,complete,4172,3884,288,0,0.00,0
fixed_user_sample,2019-11-15T01:00:00Z,complete,8660,7924,736,0,0.00,0
fixed_user_sample,2019-11-15T02:00:00Z,complete,14325,13170,1155,0,0.00,0
fixed_user_sample,2019-11-15T03:00:00Z,complete,14684,13334,1350,0,0.00,0
fixed_user_sample,2019-11-15T04:00:00Z,complete,14688,13312,1376,0,0.00,0
fixed_user_sample,2019-11-15T05:00:00Z,complete,14051,12648,1403,0,0.00,0
fixed_user_sample,2019-11-15T06:00:00Z,complete,13337,11934,1403,0,0.00,0
fixed_user_sample,2019-11-15T07:00:00Z,complete,15287,13895,1392,0,0.00,0
fixed_user_sample,2019-11-15T08:00:00Z,complete,18697,17083,1614,0,0.00,0
fixed_user_sample,2019-11-15T09:00:00Z,complete,17880,16298,1582,0,0.00,0
fixed_user_sample,2019-11-15T10:00:00Z,complete,16288,14866,1422,0,0.00,0
fixed_user_sample,2019-11-15T11:00:00Z,complete,14697,13379,1318,0,0.00,0
fixed_user_sample,2019-11-15T12:00:00Z,complete,13814,12761,1053,0,0.00,0
fixed_user_sample,2019-11-15T13:00:00Z,complete,15415,14280,1135,0,0.00,0
fixed_user_sample,2019-11-15T14:00:00Z,complete,15393,14226,1167,0,0.00,0
fixed_user_sample,2019-11-15T15:00:00Z,complete,16892,15759,1133,0,0.00,0
fixed_user_sample,2019-11-15T16:00:00Z,complete,16898,15880,1018,0,0.00,0
fixed_user_sample,2019-11-15T17:00:00Z,complete,17221,16304,917,0,0.00,0
