source_run,scope_id,series_id,policy_version,start_utc,end_utc_inclusive,scenario,period,metric,baseline,value,absolute_change,relative_change,relative_change_reason,period_state
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,baseline_keep_all,__all__,events,2114081,2114081,0,0.000000000000,defined,observed
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,baseline_keep_all,__all__,users,151121,151121,0,0.000000000000,defined,observed
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,baseline_keep_all,__all__,buyers,17121,17121,0,0.000000000000,defined,observed
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,baseline_keep_all,__all__,purchase_events,37019,37019,0,0.000000000000,defined,observed
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,baseline_keep_all,__all__,purchase_amount,11598630.22,11598630.22,0.00,0.000000000000,defined,observed
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,baseline_keep_all,2019-10-01,events,61327,61327,0,0.000000000000,defined,observed
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,baseline_keep_all,2019-10-01,users,9551,9551,0,0.000000000000,defined,observed
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,baseline_keep_all,2019-10-01,buyers,682,682,0,0.000000000000,defined,observed
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,baseline_keep_all,2019-10-01,purchase_events,992,992,0,0.000000000000,defined,observed
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,baseline_keep_all,2019-10-01,purchase_amount,325065.85,325065.85,0.00,0.000000000000,defined,observed
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,baseline_keep_all,2019-10-02,events,59567,59567,0,0.000000000000,defined,observed
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,baseline_keep_all,2019-10-02,users,9338,9338,0,0.000000000000,defined,observed
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,baseline_keep_all,2019-10-02,buyers,675,675,0,0.000000000000,defined,observed
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,baseline_keep_all,2019-10-02,purchase_events,926,926,0,0.000000000000,defined,observed
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,baseline_keep_all,2019-10-02,purchase_amount,322531.41,322531.41,0.00,0.000000000000,defined,observed
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,baseline_keep_all,2019-10-03,events,55596,55596,0,0.000000000000,defined,observed
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,baseline_keep_all,2019-10-03,users,8453,8453,0,0.000000000000,defined,observed
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,baseline_keep_all,2019-10-03,buyers,691,691,0,0.000000000000,defined,observed
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,baseline_keep_all,2019-10-03,purchase_events,971,971,0,0.000000000000,defined,observed
month-v101-01,rees46_2019_oct_user5_fedd938409b5f836_20260916_v1,rees46_fixed_users_20260916_v1,rees46-quality-v1,2019-10-01,2019-10-31,baseline_keep_all,2019-10-03,purchase_amount,306999.13,306999.13,0.00,0.000000000000,defined,observed
