utc_date,event_records,in_expected_month
2019-10-01,61327,true
2019-10-02,59567,true
2019-10-03,55596,true
2019-10-04,70345,true
2019-10-05,65613,true
2019-10-06,64035,true
2019-10-07,59762,true
2019-10-08,67438,true
2019-10-09,66329,true
2019-10-10,65410,true
2019-10-11,76636,true
2019-10-12,74840,true
2019-10-13,81440,true
2019-10-14,71878,true
2019-10-15,77735,true
2019-10-16,78750,true
2019-10-17,70909,true
2019-10-18,73358,true
2019-10-19,72477,true
2019-10-20,77383,true
2019-10-21,71121,true
2019-10-22,71284,true
2019-10-23,68176,true
2019-10-24,64470,true
2019-10-25,70107,true
2019-10-26,66104,true
2019-10-27,67261,true
2019-10-28,62666,true
2019-10-29,61304,true
2019-10-30,58485,true
2019-10-31,62275,true
