utc_date,event_records,in_expected_month
2019-10-01,1244245,true
2019-10-02,1191328,true
2019-10-03,1127303,true
2019-10-04,1417190,true
2019-10-05,1330339,true
2019-10-06,1318379,true
2019-10-07,1200531,true
2019-10-08,1370633,true
2019-10-09,1347543,true
2019-10-10,1284077,true
2019-10-11,1495343,true
2019-10-12,1479896,true
2019-10-13,1639071,true
2019-10-14,1454702,true
2019-10-15,1542225,true
2019-10-16,1522390,true
2019-10-17,1407007,true
2019-10-18,1481799,true
2019-10-19,1449293,true
2019-10-20,1509992,true
2019-10-21,1405416,true
2019-10-22,1416872,true
2019-10-23,1381126,true
2019-10-24,1316501,true
2019-10-25,1435328,true
2019-10-26,1347268,true
2019-10-27,1388553,true
2019-10-28,1260880,true
2019-10-29,1227910,true
2019-10-30,1210145,true
2019-10-31,1245479,true
