utc_hour,event_records
2019-10-01T00:00:00+00:00,1083
2019-10-01T01:00:00+00:00,121
2019-10-01T02:00:00+00:00,22886
2019-10-01T03:00:00+00:00,49409
2019-10-01T04:00:00+00:00,55290
2019-10-01T05:00:00+00:00,63646
2019-10-01T06:00:00+00:00,66211
2019-10-01T07:00:00+00:00,71138
2019-10-01T08:00:00+00:00,73621
2019-10-01T09:00:00+00:00,71288
2019-10-01T10:00:00+00:00,66044
2019-10-01T11:00:00+00:00,64373
2019-10-01T12:00:00+00:00,62995
2019-10-01T13:00:00+00:00,66777
2019-10-01T14:00:00+00:00,78901
2019-10-01T15:00:00+00:00,93322
2019-10-01T16:00:00+00:00,99134
2019-10-01T17:00:00+00:00,86017
2019-10-01T18:00:00+00:00,63538
2019-10-01T19:00:00+00:00,40571
2019-10-01T20:00:00+00:00,20944
2019-10-01T21:00:00+00:00,13093
2019-10-01T22:00:00+00:00,7532
2019-10-01T23:00:00+00:00,6311
2019-10-02T00:00:00+00:00,10138
2019-10-02T01:00:00+00:00,19395
2019-10-02T02:00:00+00:00,33131
2019-10-02T03:00:00+00:00,44678
2019-10-02T04:00:00+00:00,55812
2019-10-02T05:00:00+00:00,61226
2019-10-02T06:00:00+00:00,65727
2019-10-02T07:00:00+00:00,65572
2019-10-02T08:00:00+00:00,67105
2019-10-02T09:00:00+00:00,68505
2019-10-02T10:00:00+00:00,64739
2019-10-02T11:00:00+00:00,57813
2019-10-02T12:00:00+00:00,57054
2019-10-02T13:00:00+00:00,62933
2019-10-02T14:00:00+00:00,75267
2019-10-02T15:00:00+00:00,85231
2019-10-02T16:00:00+00:00,88228
2019-10-02T17:00:00+00:00,77634
2019-10-02T18:00:00+00:00,55299
2019-10-02T19:00:00+00:00,33275
2019-10-02T20:00:00+00:00,18652
2019-10-02T21:00:00+00:00,11120
2019-10-02T22:00:00+00:00,6954
2019-10-02T23:00:00+00:00,5840
2019-10-03T00:00:00+00:00,9054
2019-10-03T01:00:00+00:00,10908
2019-10-03T02:00:00+00:00,29792
2019-10-03T03:00:00+00:00,42248
2019-10-03T04:00:00+00:00,51558
2019-10-03T05:00:00+00:00,55954
2019-10-03T06:00:00+00:00,59365
2019-10-03T07:00:00+00:00,59765
2019-10-03T08:00:00+00:00,62224
2019-10-03T09:00:00+00:00,60235
2019-10-03T10:00:00+00:00,57150
2019-10-03T11:00:00+00:00,55258
2019-10-03T12:00:00+00:00,53511
2019-10-03T13:00:00+00:00,57469
2019-10-03T14:00:00+00:00,67975
2019-10-03T15:00:00+00:00,83814
2019-10-03T16:00:00+00:00,86262
2019-10-03T17:00:00+00:00,76520
2019-10-03T18:00:00+00:00,61792
2019-10-03T19:00:00+00:00,39127
2019-10-03T20:00:00+00:00,20502
2019-10-03T21:00:00+00:00,12195
2019-10-03T22:00:00+00:00,7979
2019-10-03T23:00:00+00:00,6646
2019-10-04T00:00:00+00:00,10372
2019-10-04T01:00:00+00:00,20379
2019-10-04T02:00:00+00:00,28879
2019-10-04T03:00:00+00:00,55282
2019-10-04T04:00:00+00:00,64647
2019-10-04T05:00:00+00:00,69443
2019-10-04T06:00:00+00:00,68258
2019-10-04T07:00:00+00:00,72061
2019-10-04T08:00:00+00:00,75469
2019-10-04T09:00:00+00:00,84234
2019-10-04T10:00:00+00:00,83326
