rule,capacity_percent,selected_n,c_actual,bit,control_n,treatment_n,conversion_control,conversion_treatment,p0_S,p1_S,delta_S,delta_pp,difference_per_10k_selected,G,treatment_share,interval_status,ci95_low,ci95_high,bootstrap_valid,bootstrap_invalid,invalid_reason,fallback_selected_n
RANDOM,10,279776,0.09999992851429107,0,42197,237579,85,737,0.0020143612105125957,0.003102126029657503,0.0010877648191449075,0.10877648191449074,10.877648191449074,1.087764041548515,0.849175769186778,descriptive_conditional_bootstrap,0.5859100256804728,1.5643194556074755,1000,0,,0
RANDOM,20,559552,0.19999985702858214,1,84348,475204,168,1461,0.0019917484706217102,0.0030744690701256724,0.0010827205995039622,0.10827205995039622,10.827205995039622,2.165439651026932,0.8492579778108201,descriptive_conditional_bootstrap,1.4753225140549213,2.797284789321144,1000,0,,0
RANDOM,30,839328,0.2999997855428732,2,126038,713290,255,2252,0.002023199352576207,0.0031572011383869114,0.0011340017858107042,0.11340017858107042,11.340017858107043,3.402002925484465,0.8498346296084487,descriptive_conditional_bootstrap,2.548813339010732,4.19311026538747,1000,0,,0
RANDOM,50,1398881,0.5,3,209995,1188886,425,3789,0.0020238577108978783,0.003187017089948069,0.0011631593790501905,0.11631593790501905,11.631593790501904,5.815796895250952,0.8498835855230001,descriptive_conditional_bootstrap,4.693127490173521,6.916150437739649,1000,0,,0
RANDOM,100,2797762,1.0,4,419883,2377879,837,7424,0.001993412450611242,0.003122110082136223,0.0011286976315249813,0.11286976315249814,11.286976315249813,11.286976315249813,0.8499218303772801,descriptive_conditional_bootstrap,9.74828346141555,12.759524558333567,1000,0,,0
RESPONSE,10,279776,0.09999992851429107,5,41730,238046,147,1317,0.003522645578720345,0.00553254413012611,0.0020098985514057648,0.2009898551405765,20.09898551405765,2.0098971146155367,0.8508449616836327,descriptive_conditional_bootstrap,1.3805660742590131,2.6138560445413845,1000,0,,0
RESPONSE,20,559552,0.19999985702858214,6,83371,476181,300,2701,0.0035983735351621067,0.005672212877036253,0.0020738393418741462,0.20738393418741463,20.738393418741463,4.147675718750781,0.8510040174997141,descriptive_conditional_bootstrap,3.147456707135064,4.9619727002795555,1000,0,,0
RESPONSE,30,839328,0.2999997855428732,7,124721,714607,437,4034,0.0035038205274171954,0.005645060851628937,0.0021412403242117416,0.21412403242117417,21.412403242117417,6.423716380592748,0.851403742041252,descriptive_conditional_bootstrap,5.216356190918671,7.442275663980683,1000,0,,0
RESPONSE,50,1398881,0.5,8,207794,1191087,738,6654,0.00355159436749858,0.005586493681821731,0.0020348993143231506,0.20348993143231506,20.348993143231507,10.174496571615753,0.8514569859766484,descriptive_conditional_bootstrap,8.671808491798354,11.535536744098906,1000,0,,0
RESPONSE,100,2797762,1.0,9,419883,2377879,837,7424,0.001993412450611242,0.003122110082136223,0.0011286976315249813,0.11286976315249814,11.286976315249813,11.286976315249813,0.8499218303772801,descriptive_conditional_bootstrap,9.74828346141555,12.759524558333567,1000,0,,0
INCREMENTAL,10,279776,0.09999992851429107,10,41730,238046,147,1317,0.003522645578720345,0.00553254413012611,0.0020098985514057648,0.2009898551405765,20.09898551405765,2.0098971146155367,0.8508449616836327,descriptive_conditional_bootstrap,1.3805660742590131,2.6138560445413845,1000,0,,0
INCREMENTAL,20,559552,0.19999985702858214,11,83371,476181,300,2701,0.0035983735351621067,0.005672212877036253,0.0020738393418741462,0.20738393418741463,20.738393418741463,4.147675718750781,0.8510040174997141,descriptive_conditional_bootstrap,3.147456707135064,4.9619727002795555,1000,0,,0
INCREMENTAL,30,839328,0.2999997855428732,12,124721,714607,437,4034,0.0035038205274171954,0.005645060851628937,0.0021412403242117416,0.21412403242117417,21.412403242117417,6.423716380592748,0.851403742041252,descriptive_conditional_bootstrap,5.216356190918671,7.442275663980683,1000,0,,0
INCREMENTAL,50,1398881,0.5,13,207794,1191087,738,6654,0.00355159436749858,0.005586493681821731,0.0020348993143231506,0.20348993143231506,20.348993143231507,10.174496571615753,0.8514569859766484,descriptive_conditional_bootstrap,8.671808491798354,11.535536744098906,1000,0,,0
INCREMENTAL,100,2797762,1.0,14,419883,2377879,837,7424,0.001993412450611242,0.003122110082136223,0.0011286976315249813,0.11286976315249814,11.286976315249813,11.286976315249813,0.8499218303772801,descriptive_conditional_bootstrap,9.74828346141555,12.759524558333567,1000,0,,0
