capacity_percent,contrast,role,selected_n,overlap_n,union_n,G_difference,interval_status,ci95_low,ci95_high,bootstrap_valid,bootstrap_invalid,invalid_reason
10,INCREMENTAL_minus_RANDOM,auxiliary,279776,139852,419700,0.9221330730670216,descriptive_paired_bootstrap,0.45131186477597507,1.386450286496666,1000,0,
10,RESPONSE_minus_RANDOM,auxiliary,279776,139852,419700,0.9221330730670216,descriptive_paired_bootstrap,0.45131186477597507,1.386450286496666,1000,0,
10,INCREMENTAL_minus_RESPONSE,auxiliary,279776,279776,279776,0.0,descriptive_paired_bootstrap,0.0,0.0,1000,0,
20,INCREMENTAL_minus_RANDOM,auxiliary,559552,279702,839402,1.982236067723849,descriptive_paired_bootstrap,1.2336226379178488,2.6595831334420894,1000,0,
20,RESPONSE_minus_RANDOM,auxiliary,559552,279702,839402,1.982236067723849,descriptive_paired_bootstrap,1.2336226379178488,2.6595831334420894,1000,0,
20,INCREMENTAL_minus_RESPONSE,auxiliary,559552,559552,559552,0.0,descriptive_paired_bootstrap,0.0,0.0,1000,0,
30,INCREMENTAL_minus_RANDOM,primary,839328,419925,1258731,3.021713455108283,descriptive_paired_bootstrap,2.142144119180858,3.829241130512961,1000,0,
30,RESPONSE_minus_RANDOM,auxiliary,839328,419925,1258731,3.021713455108283,descriptive_paired_bootstrap,2.142144119180858,3.829241130512961,1000,0,
30,INCREMENTAL_minus_RESPONSE,auxiliary,839328,839328,839328,0.0,descriptive_paired_bootstrap,0.0,0.0,1000,0,
50,INCREMENTAL_minus_RANDOM,auxiliary,1398881,699007,2098755,4.358699676364801,descriptive_paired_bootstrap,3.2684368184456978,5.36732281525186,1000,0,
50,RESPONSE_minus_RANDOM,auxiliary,1398881,699007,2098755,4.358699676364801,descriptive_paired_bootstrap,3.2684368184456978,5.36732281525186,1000,0,
50,INCREMENTAL_minus_RESPONSE,auxiliary,1398881,1398881,1398881,0.0,descriptive_paired_bootstrap,0.0,0.0,1000,0,
100,INCREMENTAL_minus_RANDOM,auxiliary,2797762,2797762,2797762,0.0,descriptive_paired_bootstrap,0.0,0.0,1000,0,
100,RESPONSE_minus_RANDOM,auxiliary,2797762,2797762,2797762,0.0,descriptive_paired_bootstrap,0.0,0.0,1000,0,
100,INCREMENTAL_minus_RESPONSE,auxiliary,2797762,2797762,2797762,0.0,descriptive_paired_bootstrap,0.0,0.0,1000,0,
